state,Pollster,Obama,McCain,middate,days.until
CO,Insider Advantage-1,53,45,10/26/08,9
CO,Opinion Research-6,53,45,10/25/08,10
CO,Financial Dynamics-5,48,44,10/25/08,10
CO,GfK Roper-5,50,41,10/24/08,11
CO,Public Opinion Strat.-3,52,40,10/22/08,13
CO,Insider Advantage-1,51,46,10/20/08,15
CO,Rasmussen-1,51,46,10/19/08,16
CO,Rasmussen-1,52,45,10/16/08,19
CO,Opinion Research-4,51,47,10/12/08,23
CO,Suffolk U.-4,47,43,10/11/08,24
CO,Quinnipiac U.-5,52,43,10/10/08,25
CO,Insider Advantage-1,51,45,10/6/08,29
CO,Rasmussen-1,51,45,10/5/08,30
CO,Mason-Dixon-3,44,44,9/30/08,35
CO,Rasmussen-1,49,48,9/28/08,37
CO,ARG-3,45,48,9/24/08,41
CO,Insider Advantage-1,50,41,9/23/08,42
CO,Rasmussen-1,50,47,9/23/08,42
CO,Opinion Research-3,51,47,9/22/08,43
CO,Ciruli Assoc.-5,44,43,9/21/08,44
CO,Quinnipiac U.-8,49,45,9/17/08,48
CO,Insider Advantage-1,51,41,9/17/08,48
CO,Rasmussen-1,46,48,9/14/08,51
CO,Financial Dynamics-5,45,44,9/13/08,52
CO,ARG-4,44,46,9/11/08,54
CO,Insider Advantage-2,49,46,9/9/08,56
CO,Rasmussen-1,49,46,9/7/08,58
CO,Opinion Research-3,46,47,8/25/08,71
CO,Suffolk U.-4,44,39,8/22/08,74
CO,Quinnipiac U.-7,46,47,8/18/08,78
CO,Mason-Dixon-3,46,43,8/14/08,82
CO,Rasmussen-1,45,47,8/13/08,83
CO,Rocky Mtn Poll-3,41,44,8/12/08,84
CO,Rasmussen-1,49,42,7/21/08,106
CO,Quinnipiac U.-9,44,46,7/18/08,109
CO,Quinnipiac U.-8,49,44,6/20/08,137
CO,Rasmussen-1,43,41,6/17/08,140
CO,Rasmussen-1,48,42,5/19/08,169
CO,Rasmussen-1,46,43,4/16/08,202
CO,Rasmussen-1,46,46,3/17/08,232
CO,SurveyUSA-3,50,41,2/27/08,251
CO,Election 2004-1,47,52,1/1/08,308
CT,U. of Connecticut-5,56,31,10/20/08,15
CT,Rasmussen-1,56,39,10/14/08,21
CT,SurveyUSA-2,54,38,9/24/08,41
CT,Pulsar Research-5,49,35,9/21/08,44
CT,ARG-3,54,39,9/18/08,47
CT,Rasmussen-1,53,41,9/16/08,49
CT,Rasmussen-1,51,36,7/31/08,96
CT,Research 2000-3,57,35,7/1/08,126
CT,Rasmussen-1,52,35,6/30/08,127
CT,Quinnipiac U.-4,56,35,6/27/08,130
CT,Rasmussen-1,47,44,5/29/08,159
CT,Quinnipiac U.-6,52,35,3/21/08,228
CT,Rasmussen-1,50,38,3/11/08,238
CT,SurveyUSA-3,55,34,2/27/08,251
CT,Election 2004-1,54,44,1/1/08,308
DC,ARG-3,82,13,9/12/08,53
DC,Election 2004-1,90,9,1/1/08,308
DE,SurveyUSA-2,63,33,10/27/08,8
DE,Rasmussen-1,56,41,10/10/08,25
DE,West Chester U.-3,56,38,10/7/08,28
DE,SurveyUSA-2,57,37,9/22/08,43
DE,Fairleigh Dickinson U.-5,56,36,9/19/08,46
DE,ARG-3,51,40,9/14/08,51
DE,Rasmussen-1,55,43,9/13/08,52
DE,SurveyUSA-3,50,41,2/27/08,251
DE,Election 2004-1,53,46,1/1/08,308
FL,Zogby-4,48,46,10/31/08,4
FL,ARG-3,50,46,10/30/08,5
FL,Mason-Dixon-2,47,45,10/29/08,6
FL,Datamar-2,47,47,10/29/08,6
FL,Rasmussen-1,51,47,10/26/08,9
FL,LA Times-3,50,43,10/26/08,9
FL,Datamar-2,49,44,10/25/08,10
FL,Opinion Research-6,51,47,10/25/08,10
FL,Financial Dynamics-5,45,44,10/25/08,10
FL,Zogby-4,47,47,10/24/08,11
FL,Suffolk U.-4,49,44,10/24/08,11
FL,GfK Roper-5,45,43,10/24/08,11
FL,Quinnipiac U.-5,47,45,10/24/08,11
FL,Insider Advantage-1,48,47,10/22/08,13
FL,Polling Company-3,49,42,10/21/08,14
FL,Mason-Dixon-2,45,46,10/20/08,15
FL,Rasmussen-1,48,49,10/19/08,16
FL,Quinnipiac U.-6,49,44,10/18/08,17
FL,SurveyUSA-2,47,49,10/16/08,19
FL,Research 2000-3,49,45,10/14/08,21
FL,Insider Advantage-1,48,44,10/13/08,22
FL,Datamar-2,47,42,10/12/08,23
FL,Opinion Research-4,51,46,10/12/08,23
FL,Rasmussen-1,51,46,10/12/08,23
FL,Rasmussen-1,50,47,10/8/08,27
FL,Research 2000-3,49,44,10/7/08,28
FL,Rasmussen-1,52,45,10/5/08,30
FL,Mason-Dixon-3,48,46,10/5/08,30
FL,Insider Advantage-1,49,46,9/30/08,35
FL,Opinion Research-3,51,47,9/29/08,36
FL,Suffolk U.-4,46,42,9/28/08,37
FL,Rasmussen-1,47,47,9/28/08,37
FL,Quinnipiac U.-3,51,43,9/28/08,37
FL,SurveyUSA-2,47,48,9/27/08,38
FL,Rasmussen-1,47,48,9/24/08,41
FL,ARG-3,47,46,9/24/08,41
FL,Rasmussen-1,46,51,9/21/08,44
FL,Mason-Dixon-3,47,45,9/17/08,48
FL,SurveyUSA-2,45,51,9/16/08,49
FL,Research 2000-4,45,46,9/16/08,49
FL,Schroth/Polling Co.-4,45,47,9/15/08,50
FL,ARG-4,46,46,9/15/08,50
FL,Opinion Research-3,48,48,9/15/08,50
FL,Rasmussen-1,44,49,9/14/08,51
FL,Financial Dynamics-5,44,44,9/13/08,52
FL,Research 2000-7,45,46,9/12/08,53
FL,Insider Advantage-2,42,50,9/9/08,56
FL,Rasmussen-1,48,48,9/7/08,58
FL,Quinnipiac U.-5,43,50,9/7/08,58
FL,Mason-Dixon-2,45,44,8/25/08,71
FL,Quinnipiac U.-8,43,47,8/20/08,76
FL,ARG-3,46,47,8/19/08,77
FL,Rasmussen-1,43,46,8/18/08,78
FL,Insider Advantage-1,44,48,8/11/08,85
FL,SurveyUSA-3,44,50,8/2/08,94
FL,Quinnipiac U.-7,46,44,7/26/08,101
FL,Rasmussen-1,46,45,7/22/08,105
FL,ARG-3,45,47,7/20/08,107
FL,Rasmussen-1,41,48,6/26/08,131
FL,Rasmussen-1,39,47,6/18/08,139
FL,ARG-5,49,44,6/15/08,142
FL,Quinnipiac U.-8,47,43,6/12/08,145
FL,Rasmussen-1,40,50,5/19/08,169
FL,Quinnipiac U.-8,41,45,5/16/08,172
FL,Quinnipiac U.-7,43,44,4/26/08,192
FL,Rasmussen-1,38,53,4/10/08,208
FL,Quinnipiac U.-8,37,46,3/27/08,222
FL,Rasmussen-1,43,47,3/12/08,237
FL,SurveyUSA-3,45,47,2/27/08,251
FL,Rasmussen-1,37,53,2/16/08,262
FL,Election 2004-1,47,52,1/1/08,308
GA,Rasmussen-1,47,52,10/30/08,5
GA,Research 2000-3,44,47,10/29/08,6
GA,Insider Advantage-1,47,48,10/27/08,8
GA,Opinion Research-6,47,52,10/25/08,10
GA,Insider Advantage-1,48,47,10/23/08,12
GA,Mason-Dixon-2,43,49,10/22/08,13
GA,Rasmussen-1,46,51,10/22/08,13
GA,Research 2000-2,43,49,10/14/08,21
GA,Opinion Research-4,45,53,10/12/08,23
GA,SurveyUSA-2,43,51,10/11/08,24
GA,Insider Advantage-1,46,49,10/9/08,26
GA,Rasmussen-1,45,54,10/7/08,28
GA,Insider Advantage-1,44,50,9/30/08,35
GA,Research 2000-3,43,50,9/30/08,35
GA,SurveyUSA-2,44,52,9/28/08,37
GA,ARG-4,39,57,9/19/08,46
GA,Insider Advantage-1,43,51,9/17/08,48
GA,Rasmussen-1,43,54,9/16/08,49
GA,SurveyUSA-3,41,57,9/15/08,50
GA,Insider Advantage-1,38,56,9/10/08,55
GA,Rasmussen-1,43,50,8/14/08,82
GA,Rasmussen-1,39,48,7/17/08,110
GA,Insider Advantage-1,44,46,7/2/08,125
GA,Rasmussen-1,43,53,6/26/08,131
GA,Insider Advantage-1,43,44,6/18/08,139
GA,Rasmussen-1,41,51,6/4/08,153
GA,Rasmussen-1,39,53,5/6/08,182
GA,Rasmussen-1,40,53,3/20/08,229
GA,SurveyUSA-3,41,54,2/27/08,251
GA,Election 2004-1,41,58,1/1/08,308
HI,Rasmussen-1,68,27,9/20/08,45
HI,ARG-6,63,32,9/9/08,56
HI,SurveyUSA-3,61,31,2/27/08,251
HI,Election 2004-1,54,45,1/1/08,308
ID,Research 2000-2,33,62,9/16/08,49
ID,Rasmussen-1,29,68,9/9/08,56
ID,ARG-3,25,68,9/9/08,56
ID,Greg Smith-5,29,52,8/20/08,76
ID,Research 2000-3,37,53,7/29/08,98
ID,SurveyUSA-3,39,52,2/27/08,251
ID,Election 2004-1,30,69,1/1/08,308
IL,Rasmussen-1,60,38,11/1/08,3
IL,Research 2000-4,59,35,10/21/08,14
IL,U. of Wisconsin-4,61,32,10/20/08,15
IL,Market Shares-3,56,32,10/17/08,18
IL,Rasmussen-1,56,39,10/13/08,22
IL,Rasmussen-1,56,40,9/17/08,48
IL,Research 2000-4,56,36,9/16/08,49
IL,U. of Wisconsin-4,53,37,9/15/08,50
IL,ARG-4,51,45,9/14/08,51
IL,Rasmussen-1,53,38,8/12/08,84
IL,Rasmussen-1,50,37,7/8/08,119
IL,SurveyUSA-3,60,31,2/27/08,251
IL,Election 2004-1,55,45,1/1/08,308
IN,Zogby-4,44,49,10/31/08,4
IN,ARG-4,48,48,10/29/08,6
IN,Rasmussen-2,46,49,10/28/08,7
IN,SurveyUSA-4,47,47,10/28/08,7
IN,Selzer-3,46,45,10/27/08,8
IN,Zogby-4,44,50,10/24/08,11
IN,Research 2000-3,48,47,10/24/08,11
IN,Howey-Gauge-2,45,47,10/23/08,12
IN,SurveyUSA-2,49,45,10/21/08,14
IN,U. of Wisconsin-4,51,41,10/20/08,15
IN,Rasmussen-1,43,50,10/7/08,28
IN,Opinion Research-4,46,51,10/4/08,31
IN,Research 2000-5,46,46,10/1/08,34
IN,Research 2000-3,45,46,9/29/08,36
IN,SurveyUSA-2,45,48,9/28/08,37
IN,Rasmussen-2,47,49,9/17/08,48
IN,ARG-4,44,47,9/16/08,49
IN,U. of Wisconsin-4,43,47,9/15/08,50
IN,Opinion Research-3,45,51,9/15/08,50
IN,Selzer-3,47,44,9/15/08,50
IN,Howey-Gauge-2,43,45,8/29/08,67
IN,Rasmussen-3,42,46,8/20/08,76
IN,SurveyUSA-3,44,50,8/17/08,79
IN,SurveyUSA-3,48,47,6/22/08,135
IN,Ind. Legis. Insight-6,38,47,5/29/08,159
IN,Research 2000-4,43,51,4/22/08,196
IN,Selzer-4,49,41,4/21/08,197
IN,IPFW U.-3,44,51,4/15/08,203
IN,SurveyUSA-3,41,50,2/27/08,251
IN,SurveyUSA-2,40,50,2/3/08,275
IN,Election 2004-1,39,60,1/1/08,308
IA,Selzer-4,54,37,10/29/08,6
IA,SurveyUSA-2,55,40,10/28/08,7
IA,Research 2000-3,53,39,10/28/08,7
IA,Marist Coll.-2,52,42,10/23/08,12
IA,Rasmussen-1,52,44,10/23/08,12
IA,Mason-Dixon-2,51,40,10/22/08,13
IA,U. of Wisconsin-4,52,39,10/20/08,15
IA,Research 2000-4,54,39,10/20/08,15
IA,SurveyUSA-2,54,41,10/8/08,27
IA,Research 2000-2,55,39,9/29/08,36
IA,Rasmussen-1,51,43,9/25/08,40
IA,Marist Coll.-4,51,41,9/19/08,46
IA,ARG-4,51,44,9/18/08,47
IA,SurveyUSA-2,54,43,9/17/08,48
IA,Research 2000-3,53,39,9/16/08,49
IA,U. of Wisconsin-4,45,45,9/15/08,50
IA,Selzer-3,52,40,9/9/08,56
IA,Opinion Research-3,55,40,9/1/08,64
IA,U. of Iowa-10,50,43,8/8/08,88
IA,Rasmussen-1,46,41,8/7/08,89
IA,Rasmussen-1,51,41,7/10/08,117
IA,SurveyUSA-4,49,45,6/14/08,143
IA,Rasmussen-1,45,38,6/10/08,147
IA,SurveyUSA-2,47,38,5/21/08,167
IA,Rasmussen-1,44,42,5/13/08,175
IA,Research 2000-3,49,41,4/22/08,196
IA,SurveyUSA-3,49,42,4/12/08,206
IA,Rasmussen-1,46,42,3/31/08,218
IA,SurveyUSA-3,50,44,3/15/08,234
IA,SurveyUSA-3,50,41,2/27/08,251
IA,Rasmussen-1,44,41,2/18/08,260
IA,SurveyUSA-3,51,41,2/16/08,262
IA,Election 2004-1,49,50,1/1/08,308
KS,SurveyUSA-2,37,58,10/27/08,8
KS,SurveyUSA-2,41,53,10/21/08,14
KS,Rasmussen-1,41,54,10/13/08,22
KS,SurveyUSA-2,41,53,9/21/08,44
KS,Rasmussen-1,38,58,9/18/08,47
KS,ARG-4,31,63,9/8/08,57
KS,SurveyUSA-3,35,58,8/19/08,77
KS,Rasmussen-1,37,52,8/11/08,85
KS,Rasmussen-1,32,52,7/14/08,113
KS,Rasmussen-1,37,47,6/11/08,146
KS,Research 2000-3,40,51,6/3/08,154
KS,SurveyUSA-3,39,49,5/17/08,171
KS,Rasmussen-1,34,55,5/13/08,175
KS,SurveyUSA-3,37,54,4/12/08,206
KS,SurveyUSA-3,39,51,3/15/08,234
KS,SurveyUSA-3,41,50,2/27/08,251
KS,SurveyUSA-3,44,50,2/16/08,262
KS,Election 2004-1,37,62,1/1/08,308
KY,SurveyUSA-4,40,56,10/30/08,5
KY,Rasmussen-1,43,55,10/29/08,6
KY,Research 2000-3,39,56,10/28/08,7
KY,Mason-Dixon-3,42,51,10/28/08,7
KY,Rasmussen-1,44,52,10/21/08,14
KY,Research 2000-3,39,55,10/20/08,15
KY,SurveyUSA-3,41,54,10/19/08,16
KY,Research 2000-3,39,53,10/15/08,20
KY,Rasmussen-1,42,52,9/30/08,35
KY,Mason-Dixon-4,41,53,9/23/08,42
KY,SurveyUSA-2,38,57,9/21/08,44
KY,Research 2000-3,37,55,9/16/08,49
KY,ARG-5,37,57,9/10/08,55
KY,SurveyUSA-3,37,55,8/10/08,86
KY,Rasmussen-1,39,49,7/29/08,98
KY,Research 2000-3,35,56,7/29/08,98
KY,Rasmussen-10,39,49,7/24/08,103
KY,Rasmussen-1,35,51,6/25/08,132
KY,SurveyUSA-4,41,53,6/14/08,143
KY,SurveyUSA-3,32,56,5/17/08,171
KY,Research 2000-3,33,58,5/8/08,180
KY,SurveyUSA-3,29,63,4/12/08,206
KY,SurveyUSA-3,28,64,3/15/08,234
KY,SurveyUSA-3,33,54,2/27/08,251
KY,SurveyUSA-2,32,61,2/3/08,275
KY,Election 2004-1,40,60,1/1/08,308
LA,Loyola U.-3,40,43,10/25/08,10
LA,Southeastern La. U.-4,38,51,10/21/08,14
LA,Rasmussen-1,41,57,10/21/08,14
LA,Rasmussen-1,40,55,9/25/08,40
LA,ARG-4,43,50,9/10/08,55
LA,Rasmussen-1,38,55,8/17/08,79
LA,Rasmussen-1,37,56,7/9/08,118
LA,Opinion Res.-3,36,52,6/27/08,130
LA,Rasmussen-1,41,50,5/28/08,160
LA,Rasmussen-1,41,52,4/9/08,209
LA,Opinion Res.-15,35,51,4/2/08,216
LA,SurveyUSA-3,39,54,2/27/08,251
LA,Election 2004-1,42,57,1/1/08,308
ME,Rasmussen-1,56,43,11/1/08,3
ME,SurveyUSA-2,54,39,10/19/08,16
ME,Critical Insights-4,56,35,10/17/08,18
ME,Research 2000-2,53,38,10/14/08,21
ME,Pan Atlantic SMS-4,51,39,10/14/08,21
ME,Rasmussen-1,51,46,10/2/08,33
ME,SurveyUSA-2,49,44,9/22/08,43
ME,Rasmussen-1,50,46,9/17/08,48
ME,ARG-3,51,41,9/9/08,56
ME,Research 2000-3,52,38,9/9/08,56
ME,Rasmussen-1,49,36,8/12/08,84
ME,Rasmussen-1,46,36,7/17/08,110
ME,Rasmussen-1,55,33,6/16/08,141
ME,Pan Atlantic SMS-9,37,26,6/14/08,143
ME,Critical Insights-27,51,31,6/14/08,143
ME,Rasmussen-1,51,38,5/14/08,174
ME,Rasmussen-1,49,39,4/1/08,217
ME,SurveyUSA-3,53,39,2/27/08,251
ME,Election 2004-1,53,45,1/1/08,308
MD,Rasmussen-1,60,37,9/20/08,45
MD,ARG-3,54,39,9/18/08,47
MD,Gonzales Research-8,52,38,9/1/08,64
MD,Rasmussen-1,53,41,8/18/08,78
MD,SurveyUSA-3,53,40,2/27/08,251
MD,Gonzales Res.-8,51,37,2/26/08,252
MD,Election 2004-1,56,43,1/1/08,308
MA,SurveyUSA-2,56,39,10/27/08,8
MA,Suffolk U.-3,53,34,10/21/08,14
MA,SurveyUSA-2,59,35,10/13/08,22
MA,Rasmussen-1,62,34,10/13/08,22
MA,Rasmussen-1,58,38,9/23/08,42
MA,SurveyUSA-2,55,39,9/22/08,43
MA,ARG-3,55,39,9/21/08,44
MA,Rasmussen-1,51,36,8/5/08,91
MA,Suffolk U.-4,47,38,8/1/08,95
MA,Rasmussen-1,53,33,6/30/08,127
MA,SurveyUSA-3,53,40,6/26/08,131
MA,Suffolk U.-3,53,30,6/9/08,148
MA,Rasmussen-1,51,38,5/29/08,159
MA,SurveyUSA-3,46,41,5/17/08,171
MA,Rasmussen-1,51,39,4/23/08,195
MA,SurveyUSA-3,48,46,4/12/08,206
MA,Rasmussen-1,49,42,3/18/08,231
MA,SurveyUSA-3,47,47,3/15/08,234
MA,SurveyUSA-3,49,42,2/27/08,251
MA,SurveyUSA-3,48,46,2/16/08,262
MA,Election 2004-1,62,37,1/1/08,308
MI,Selzer-4,53,37,10/29/08,6
MI,Rasmussen-1,53,43,10/28/08,7
MI,EPIC-MRA-3,50,38,10/27/08,8
MI,EPIC-MRA-4,51,37,10/20/08,15
MI,U. of Wisconsin-4,58,36,10/20/08,15
MI,Quinnipiac U.-5,54,38,10/10/08,25
MI,Rasmussen-1,56,40,10/8/08,27
MI,Selzer-3,51,38,9/23/08,42
MI,Opinion Research-3,51,46,9/22/08,43
MI,Rasmussen-1,51,44,9/21/08,44
MI,EPIC-MRA-3,48,38,9/21/08,44
MI,Mason-Dixon-6,46,46,9/20/08,45
MI,Financial Dynamics-5,47,39,9/20/08,45
MI,ARG-4,48,46,9/17/08,48
MI,Quinnipiac U.-8,48,44,9/17/08,48
MI,Marketing Resource Grp.-5,43,46,9/17/08,48
MI,Marist Coll.-2,52,43,9/16/08,49
MI,EPIC-MRA-4,43,42,9/15/08,50
MI,U. of Wisconsin-4,48,44,9/15/08,50
MI,Rasmussen-1,51,46,9/10/08,55
MI,Insider Advantage-2,44,45,9/9/08,56
MI,Opinion Research-3,49,45,9/8/08,57
MI,EPIC-MRA-4,43,41,8/19/08,77
MI,Selzer-4,46,39,8/18/08,78
MI,Rasmussen-1,47,40,8/7/08,89
MI,Quinnipiac U.-9,46,42,7/18/08,109
MI,EPIC-MRA-4,43,41,7/14/08,113
MI,Rasmussen-1,50,42,7/10/08,117
MI,Quinnipiac U.-8,48,42,6/20/08,137
MI,Rasmussen-1,45,42,6/9/08,148
MI,SurveyUSA-2,37,41,5/27/08,161
MI,EPIC-MRA-4,40,44,5/20/08,168
MI,Rasmussen-1,44,45,5/8/08,180
MI,Rasmussen-1,44,45,5/7/08,181
MI,EPIC-MRA-6,43,41,4/5/08,213
MI,Rasmussen-1,42,43,3/25/08,224
MI,Rasmussen-1,41,44,3/10/08,239
MI,SurveyUSA-3,46,45,2/27/08,251
MI,Election 2004-1,51,48,1/1/08,308
MN,SurveyUSA-3,49,46,10/31/08,4
MN,Princeton Survey-3,53,42,10/30/08,5
MN,Rasmussen-1,55,43,10/28/08,7
MN,Research 2000-3,53,38,10/28/08,7
MN,Mason-Dixon-2,48,40,10/27/08,8
MN,U. of Minnesota-5,56,37,10/26/08,9
MN,Rasmussen-1,56,41,10/22/08,13
MN,U. of Wisconsin-4,57,38,10/20/08,15
MN,Financial Dynamics-5,50,40,10/18/08,17
MN,St. Cloud State U.-9,42,37,10/18/08,17
MN,SurveyUSA-3,50,44,10/17/08,18
MN,Princeton Survey-2,52,41,10/16/08,19
MN,Star Tribune-2,52,41,10/16/08,19
MN,Research 2000-2,52,39,10/15/08,20
MN,Quinnipiac U.-5,51,40,10/10/08,25
MN,Rasmussen-1,52,45,10/7/08,28
MN,SurveyUSA-2,49,47,10/6/08,29
MN,ARG-4,47,46,10/5/08,30
MN,U. of Minnesota-3,54,40,10/4/08,31
MN,Princeton Survey-3,55,37,10/1/08,34
MN,SurveyUSA-2,46,47,9/30/08,35
MN,Opinion Research-3,54,43,9/29/08,36
MN,ARG-3,48,47,9/19/08,46
MN,Rasmussen-1,52,44,9/18/08,47
MN,Quinnipiac U.-8,47,45,9/17/08,48
MN,U. of Wisconsin-4,47,45,9/15/08,50
MN,Princeton Survey-3,45,45,9/11/08,54
MN,SurveyUSA-2,49,47,9/10/08,55
MN,Opinion Research-3,53,41,9/1/08,64
MN,SurveyUSA-2,47,45,8/13/08,83
MN,Rasmussen-1,46,42,8/13/08,83
MN,U. of Minnesota-11,48,38,8/12/08,84
MN,Rasmussen-1,49,37,7/22/08,105
MN,Quinnipiac U.-9,46,44,7/18/08,109
MN,Rasmussen-1,52,34,7/10/08,117
MN,Quinnipiac U.-8,54,37,6/20/08,137
MN,SurveyUSA-4,47,46,6/14/08,143
MN,Rasmussen-1,52,39,6/11/08,146
MN,Rasmussen-1,53,38,5/22/08,166
MN,SurveyUSA-3,47,42,5/17/08,171
MN,Star Tribune-4,51,38,5/13/08,175
MN,Rasmussen-1,52,38,4/22/08,196
MN,SurveyUSA-3,49,43,4/12/08,206
MN,Rasmussen-1,47,43,3/19/08,230
MN,SurveyUSA-3,46,47,3/15/08,234
MN,SurveyUSA-3,49,42,2/27/08,251
MN,Rasmussen-1,53,38,2/16/08,262
MN,SurveyUSA-3,55,40,2/16/08,262
MN,Election 2004-1,51,48,1/1/08,308
MS,Research 2000-3,40,53,10/28/08,7
MS,Rasmussen-1,45,53,10/27/08,8
MS,U. of South Alabama-11,33,46,10/18/08,17
MS,USA Polling Group-11,33,46,10/18/08,17
MS,Research 2000-2,40,50,10/14/08,21
