"","X","bg_female","bg_married","bg_b1_age","fol2_amtinvest","tgroup"
"170",170,1,0,80,0,"Locked Box"
"171",171,1,1,35,750,"Locked Box"
"172",172,1,1,38,0,"Locked Box"
"173",173,1,0,48,40,"Locked Box"
"174",174,1,1,40,1590,"Locked Box"
"175",175,1,1,45,105,"Locked Box"
"176",176,1,0,50,0,"Locked Box"
"177",177,1,1,53,0,"Locked Box"
"178",178,1,0,34,750,"Safe Box"
"179",179,1,0,88,0,"Safe Box"
"180",180,1,0,29,330,"Safe Box"
"181",181,1,0,68,310,"Safe Box"
"182",182,1,1,36,1210,"Safe Box"
"183",183,0,1,38,160,"Control"
"184",184,0,1,38,110,"Control"
"185",185,0,1,65,0,"Control"
"186",186,0,1,45,0,"Control"
"187",187,0,1,68,40,"Control"
"188",188,1,1,55,100,"Control"
"189",189,1,1,32,105,"Control"
"190",190,1,1,45,600,"Locked Box"
"191",191,0,1,66,60,"Locked Box"
"192",192,0,1,50,263,"Locked Box"
"193",193,1,1,36,660,"Locked Box"
"194",194,1,0,67,680,"Locked Box"
"195",195,1,1,70,2740,"Locked Box"
"196",196,1,1,70,2740,"Locked Box"
"197",197,1,0,42,470,"Locked Box"
"198",198,0,1,65,99,"Locked Box"
"199",199,0,1,60,20,"Locked Box"
"200",200,1,1,20,560,"Locked Box"
"201",201,0,0,34,60,"Locked Box"
"202",202,0,1,46,670,"Locked Box"
"203",203,1,1,50,100,"Locked Box"
"204",204,0,1,31,310,"Locked Box"
"205",205,0,1,45,283,"Safe Box"
"206",206,1,0,35,20,"Safe Box"
"207",207,1,1,42,60,"Safe Box"
"208",208,1,1,30,410,"Safe Box"
"209",209,0,1,40,60,"Safe Box"
"210",210,1,1,34,20,"Safe Box"
"211",211,1,1,49,10,"Safe Box"
"212",212,1,0,60,20,"Safe Box"
"213",213,0,1,40,710,"Control"
"214",214,1,1,48,180,"Control"
"215",215,1,1,53,430,"Control"
"216",216,1,0,18,200,"Control"
"217",217,1,0,43,60,"Control"
"218",218,1,0,38,40,"Control"
"219",219,1,0,50,60,"Control"
"220",220,0,0,27,740,"Control"
"221",221,1,1,31,NA,"Control"
"222",222,1,0,42,230,"Control"
"223",223,1,1,30,0,"Control"
"224",224,1,1,30,90,"Locked Box"
"225",225,0,1,35,650,"Locked Box"
"226",226,1,1,20,140,"Locked Box"
"227",227,1,1,52,0,"Locked Box"
"228",228,1,1,21,0,"Locked Box"
"229",229,1,1,38,120,"Safe Box"
"230",230,1,1,45,NA,"Control"
"231",231,1,1,56,50,"Safe Box"
"232",232,1,1,53,500,"Safe Box"
"233",233,1,1,28,130,"Safe Box"
"234",234,0,1,22,340,"Safe Box"
"235",235,0,1,31,NA,"Safe Box"
"236",236,0,1,27,0,"Safe Box"
"237",237,0,1,32,0,"Safe Box"
"238",238,0,1,30,0,"Safe Box"
"239",239,0,1,34,120,"Safe Box"
"240",240,1,1,23,NA,"Safe Box"
"241",241,1,1,29,NA,"Locked Box"
"242",242,0,1,49,40,"Locked Box"
"243",243,0,1,44,1060,"Locked Box"
"244",244,0,1,32,450,"Locked Box"
"245",245,0,1,36,132,"Locked Box"
"246",246,1,1,24,20,"Locked Box"
"247",247,1,1,27,35,"Locked Box"
"248",248,1,0,28,560,"Safe Box"
"249",249,1,1,35,100,"Locked Box"
"250",250,1,0,40,50,"Locked Box"
"251",251,1,0,42,50,"Locked Box"
"252",252,1,1,30,0,"Locked Box"
"253",253,1,0,28,60,"Locked Box"
"254",254,1,1,35,80,"Locked Box"
"255",255,1,1,30,0,"Locked Box"
"256",256,0,1,48,700,"Control"
"257",257,0,1,35,336,"Control"
"258",258,1,1,31,230,"Control"
"259",259,0,0,22,NA,"Control"
"260",260,1,0,50,40,"Control"
"261",261,1,1,52,350,"Control"
"262",262,1,1,22,600,"Control"
"263",263,0,1,76,480,"Control"
"264",264,0,1,50,NA,"Control"
"265",265,0,1,26,20,"Locked Box"
"266",266,0,1,26,283,"Locked Box"
"267",267,1,1,30,20,"Locked Box"
"268",268,0,1,51,0,"Locked Box"
"269",269,1,1,45,245,"Locked Box"
"270",270,1,1,53,40,"Locked Box"
"271",271,1,1,30,540,"Locked Box"
"272",272,1,0,45,0,"Locked Box"
"273",273,1,1,45,0,"Locked Box"
"274",274,1,1,25,575,"Locked Box"
"275",275,1,1,42,1450,"Locked Box"
"276",276,1,1,50,1428,"Locked Box"
"277",277,1,1,42,NA,"Locked Box"
"278",278,1,0,53,1700,"Locked Box"
"279",279,0,1,24,1190,"Control"
"280",280,0,1,30,60,"Control"
"281",281,0,1,30,80,"Locked Box"
"282",282,0,0,30,NA,"Control"
"283",283,1,1,25,70,"Locked Box"
"284",284,1,0,20,683,"Locked Box"
"285",285,1,0,19,300,"Locked Box"
"286",286,1,1,23,35,"Locked Box"
"287",287,1,1,29,70,"Locked Box"
"288",288,1,1,20,335,"Locked Box"
"289",289,1,1,26,33,"Locked Box"
"290",290,1,1,25,55,"Locked Box"
"291",291,0,1,65,0,"Control"
"292",292,0,0,37,45,"Safe Box"
"293",293,0,1,26,1030,"Control"
"294",294,0,1,47,65,"Control"
"295",295,1,0,38,80,"Safe Box"
"296",296,0,1,48,70,"Safe Box"
"297",297,1,1,31,1000,"Safe Box"
"298",298,0,0,24,0,"Safe Box"
"299",299,1,1,40,NA,"Safe Box"
"300",300,1,1,22,1130,"Safe Box"
"301",301,1,1,37,480,"Safe Box"
"302",302,1,1,30,113,"Safe Box"
"303",303,1,1,26,80,"Safe Box"
"304",304,1,1,38,73,"Safe Box"
"305",305,0,1,30,0,"Safe Box"
"306",306,0,0,32,1850,"Locked Box"
"307",307,1,0,48,105,"Locked Box"
"308",308,0,1,56,80,"Locked Box"
"309",309,1,1,55,360,"Locked Box"
"310",310,1,0,50,0,"Locked Box"
"311",311,0,1,28,53,"Locked Box"
"312",312,0,1,38,80,"Locked Box"
"313",313,1,1,20,50,"Locked Box"
"314",314,0,1,21,1575,"Locked Box"
"315",315,1,1,27,600,"Safe Box"
"316",316,1,1,26,1000,"Safe Box"
"317",317,1,1,55,985,"Safe Box"
"318",318,1,1,46,70,"Safe Box"
"319",319,1,1,21,40,"Locked Box"
"320",320,0,0,22,1400,"Locked Box"
"321",321,0,1,27,190,"Locked Box"
"322",322,1,1,49,NA,"Locked Box"
"323",323,1,1,40,0,"Locked Box"
"324",324,1,1,38,NA,"Locked Box"
"325",325,0,1,39,710,"Locked Box"
"326",326,0,1,43,81,"Locked Box"
"327",327,1,0,53,60,"Locked Box"
"328",328,0,1,52,105,"Locked Box"
"329",329,1,1,34,60,"Locked Box"
"330",330,1,1,45,300,"Locked Box"
"331",331,0,0,40,35,"Locked Box"
"332",332,0,1,35,0,"Locked Box"
"333",333,0,1,55,0,"Locked Box"
"334",334,0,1,35,80,"Locked Box"
"335",335,0,1,24,53,"Control"
"336",336,1,1,28,NA,"Control"
"337",337,1,1,55,53,"Locked Box"
"338",338,1,0,25,750,"Control"
"339",339,1,1,41,553,"Control"
"340",340,1,1,25,63,"Locked Box"
"341",341,1,1,27,626,"Control"
"342",342,1,1,24,40,"Locked Box"
"343",343,1,0,27,40,"Control"
"344",344,1,1,42,40,"Control"
"345",345,1,1,33,40,"Locked Box"
"346",346,1,1,35,80,"Safe Box"
"347",347,1,0,55,300,"Safe Box"
"348",348,1,1,34,80,"Control"
"349",349,1,1,46,20,"Control"
"350",350,1,1,60,NA,"Control"
"351",351,1,1,45,40,"Control"
"352",352,1,1,70,60,"Control"
"353",353,1,0,50,610,"Control"
"354",354,1,1,54,80,"Control"
"355",355,1,0,62,0,"Control"
"356",356,1,0,65,50,"Control"
"357",357,1,0,40,730,"Control"
"358",358,1,0,64,740,"Safe Box"
"359",359,1,1,35,470,"Safe Box"
"360",360,1,1,36,60,"Safe Box"
"361",361,0,1,28,125,"Safe Box"
"362",362,1,1,30,60,"Safe Box"
"363",363,1,1,40,310,"Safe Box"
"364",364,1,1,23,80,"Safe Box"
"365",365,1,1,33,860,"Safe Box"
"366",366,1,1,36,NA,"Locked Box"
"367",367,0,1,34,550,"Locked Box"
"368",368,1,1,42,660,"Locked Box"
"369",369,1,1,57,60,"Locked Box"
"370",370,1,1,29,NA,"Locked Box"
"371",371,1,1,43,220,"Locked Box"
"372",372,1,0,33,80,"Control"
"373",373,1,1,29,690,"Control"
"374",374,1,0,54,40,"Control"
"375",375,0,1,45,0,"Safe Box"
"376",376,0,1,78,80,"Control"
"377",377,1,1,43,80,"Control"
"378",378,1,1,43,360,"Control"
"379",379,1,1,50,600,"Control"
"380",380,0,1,69,510,"Control"
"381",381,1,0,66,0,"Control"
"382",382,1,1,25,330,"Control"
"383",383,1,1,27,300,"Control"
"384",384,1,0,49,0,"Control"
"385",385,1,1,34,456,"Control"
"386",386,1,1,32,160,"Control"
"387",387,1,1,48,130,"Control"
"388",388,1,1,28,0,"Control"
"389",389,1,1,28,NA,"Control"
"390",390,1,1,31,410,"Control"
"391",391,1,1,46,0,"Control"
"392",392,1,1,19,40,"Control"
"393",393,1,1,28,120,"Control"
"394",394,1,1,49,434,"Safe Box"
"395",395,1,1,55,1140,"Safe Box"
"396",396,1,1,51,0,"Safe Box"
"397",397,1,1,53,650,"Safe Box"
"398",398,1,1,29,360,"Safe Box"
"399",399,1,0,56,310,"Safe Box"
"400",400,1,1,30,350,"Safe Box"
"401",401,1,1,38,60,"Safe Box"
"402",402,0,1,35,320,"Locked Box"
"403",403,1,0,62,80,"Locked Box"
"404",404,0,1,34,0,"Locked Box"
"405",405,0,1,31,60,"Locked Box"
"406",406,0,0,19,250,"Locked Box"
"407",407,0,1,24,0,"Locked Box"
"408",408,1,1,30,130,"Locked Box"
"409",409,1,1,33,0,"Locked Box"
"410",410,1,1,23,60,"Locked Box"
"411",411,1,1,55,860,"Locked Box"
"412",412,1,0,48,60,"Safe Box"
"413",413,1,1,36,120,"Safe Box"
"414",414,1,1,40,120,"Locked Box"
"415",415,1,1,28,60,"Locked Box"
"416",416,1,1,48,0,"Locked Box"
"417",417,1,0,52,20,"Locked Box"
"418",418,1,1,46,30,"Locked Box"
"419",419,1,1,35,670,"Locked Box"
"420",420,1,0,58,620,"Locked Box"
"421",421,1,1,43,120,"Locked Box"
"422",422,1,1,47,60,"Locked Box"
"423",423,1,1,49,40,"Locked Box"
