shareblue,sharewhite,sharedomestic,nvoter,nazivote,nunemployed
0.298152,0.1313705,0.265295,47676,24077,5915
0.3304112,0.0509465,0.3526024,29270,16526,1907
0.2800198,0.2306869,0.0992423,20445,8790,5235
0.3259118,0.1014097,0.299607,119758,58618,13125
0.3280917,0.0737223,0.3352437,52476,30323,3835
0.3073678,0.0574939,0.3550301,73992,39021,5245
0.454339,0.0692373,0.2182644,27908,12133,2703
0.4446731,0.1055479,0.1950541,33112,15641,2324
0.4409839,0.0825659,0.197344,96153,44324,13191
0.24659,0.2362706,0.0773532,479621,201309,155150
0.3348517,0.0567647,0.2764755,56725,30861,8379
0.2693847,0.2375236,0.0829747,19224,8800,5582
0.3225053,0.0953314,0.251792,47659,19314,6730
0.3174096,0.1056917,0.2184062,79738,26594,15268
0.284669,0.0579751,0.3256877,17446,8144,2021
0.3513438,0.0601798,0.3039266,25102,15647,1819
0.2674547,0.068238,0.3271028,34996,15912,3594
0.2894084,0.0671283,0.351333,30094,17374,2018
0.3742585,0.0808206,0.2776199,19200,8974,1609
0.4125091,0.0624413,0.2390224,35203,17052,4228
0.3881694,0.0895908,0.2537545,43780,25400,4386
0.4300385,0.1010882,0.1393562,56405,24643,11301
0.3879382,0.0884166,0.1625725,59576,23551,13867
0.2780834,0.2819217,0.0883444,22353,9261,5338
0.3528807,0.0754115,0.2969822,36102,20129,2841
0.4451191,0.102116,0.1165744,88503,35930,20388
0.4008034,0.2109085,0.0718995,32073,12758,7326
0.3278733,0.0857969,0.2825696,40237,22260,3843
0.3302747,0.0875084,0.2499156,45603,21035,6995
0.3412253,0.0862736,0.255248,77450,37096,9739
0.3627062,0.0738973,0.2581387,102981,52411,12613
0.2579001,0.3276876,0.0934682,19485,8080,3689
0.3229409,0.1632447,0.1506613,109400,49179,22894
0.3176741,0.0865258,0.2188943,56216,26407,11377
0.2448994,0.2724106,0.1183621,21879,9856,4739
0.3471224,0.0761303,0.2781769,35780,15419,4585
0.3779597,0.0806237,0.2178422,49711,26103,7179
0.3812459,0.0681449,0.2431791,145994,76232,18964
0.2923585,0.2114456,0.0899928,54838,25594,15315
0.2933711,0.0698625,0.3242146,41723,22026,3351
0.3177107,0.0875581,0.2652269,24338,14784,3383
0.3704078,0.0751944,0.2427706,58335,23577,8994
0.4122629,0.1539114,0.0683901,206225,79701,58895
0.2746329,0.0800861,0.2969439,51601,18761,9418
0.2828126,0.0548172,0.3492151,24289,8750,2309
0.3309256,0.0672834,0.3069807,24720,11067,2211
0.3452564,0.108173,0.2669894,32520,16125,3711
0.2751445,0.0693376,0.3092858,51680,19941,6880
0.3380374,0.0622316,0.2996221,43002,13891,4303
0.2465671,0.292761,0.1111185,23103,6170,5021
0.2666553,0.0736509,0.3073035,60760,20444,8777
0.2421706,0.0578081,0.3300437,86540,27750,17689
0.2613026,0.1781382,0.2305517,79426,27332,15479
0.2712324,0.1257523,0.2202501,70435,26253,17407
0.2350579,0.0516997,0.3719169,33066,9976,4326
0.3175602,0.1550107,0.1870692,123324,46238,27496
0.4150198,0.1875454,0.0777607,17792,6293,3486
0.3971864,0.110104,0.144987,76057,28276,16160
0.3157179,0.0920977,0.3401018,42418,23071,2300
0.353207,0.1031298,0.2259088,53082,26705,7389
0.2690154,0.2663753,0.0822067,35273,15133,8753
0.4248417,0.060308,0.2464117,74853,33633,7604
0.38255,0.0753197,0.2793279,47435,21035,4036
0.2907276,0.2649845,0.068483,230808,84509,58073
0.4449646,0.0819836,0.1821927,44730,19309,6830
0.4425839,0.0818661,0.1766416,85497,34464,13344
0.4160213,0.062382,0.289639,29822,15725,1024
0.4075214,0.079335,0.2117653,31545,13859,4576
0.3308606,0.2295605,0.0889367,18635,9602,4127
0.3374334,0.074283,0.3210237,41802,24291,1554
0.4434093,0.071045,0.2408349,36316,16735,2860
0.3469797,0.2684449,0.0982242,22686,10373,3482
0.4089575,0.1274744,0.1223764,64617,25161,14348
0.3525982,0.1566882,0.1452511,119763,52402,26321
0.3339565,0.1034505,0.219353,43462,20409,7834
0.4414029,0.1096399,0.1491128,69597,23597,12717
0.4206735,0.083438,0.1749094,56452,23550,10169
0.2833904,0.0500911,0.3609938,27158,16156,2603
0.4275877,0.2088898,0.0823247,16776,7347,2734
0.2747138,0.2767473,0.0690738,158092,59717,41161
0.3573574,0.0745874,0.2825903,53561,26794,5883
0.4025938,0.1027617,0.1924426,83326,33841,13371
0.5266401,0.0686394,0.1297293,53341,20467,9220
0.4106929,0.0964568,0.1617084,65474,24533,13891
0.3300862,0.2806295,0.0737355,21300,7860,4550
0.2452078,0.2047658,0.1378636,21766,8927,5049
0.406363,0.0685756,0.2302241,46096,21485,6838
0.4396089,0.081574,0.1167059,60571,19891,14489
0.3148425,0.0899392,0.2799613,50657,22478,7287
0.2833892,0.050116,0.3862836,27640,16750,1361
0.3660723,0.0916541,0.2549221,40399,20891,4211
0.3946036,0.1049411,0.1592249,91600,35809,19326
0.4231072,0.1135794,0.212174,57036,25015,5149
0.4158078,0.0589208,0.1663451,25288,9200,5840
0.2954043,0.1921848,0.0733595,25645,10199,7980
0.4268645,0.1224332,0.0977472,97003,34247,20458
0.3393617,0.1486037,0.0775931,19269,8689,5710
0.3981251,0.085015,0.1374189,130936,59354,26387
0.2804998,0.1961826,0.0781189,15606,7549,4884
0.3823711,0.075102,0.1883216,65421,23640,10504
0.3434208,0.2646524,0.0753208,31753,11206,5916
0.4513559,0.082145,0.1543533,98606,43610,11954
0.3209907,0.2137837,0.0651141,61674,23953,16570
0.2812128,0.2676472,0.0715408,35320,14727,9167
0.4577536,0.116639,0.099643,66440,30150,12153
0.3518321,0.1179687,0.1403432,47025,16496,9977
0.4009677,0.1231551,0.1502642,67606,27810,11457
0.37449,0.0979183,0.1870217,48403,22562,6286
0.3457714,0.0909432,0.1440966,96195,50571,22695
0.3643639,0.105491,0.1855949,162364,65552,23727
0.2361199,0.3189459,0.1023626,35550,15539,6799
0.3325935,0.0790384,0.2737567,30752,5885,4346
0.2507633,0.0742511,0.341962,27316,14902,3230
0.3303704,0.0384362,0.2852263,27046,11071,4324
0.3084225,0.1533059,0.0730316,27012,10948,8221
0.2825112,0.2702081,0.0992296,27165,11301,5353
0.3751143,0.1096334,0.1615272,53247,22162,11467
0.2777565,0.198844,0.1539652,147643,62445,32534
0.3075837,0.0689146,0.2879603,76862,27902,12506
0.3443302,0.1114369,0.1693287,92814,45945,18628
0.3762774,0.0891554,0.2453076,25046,12327,2411
0.2499657,0.0787056,0.3368984,9398,4962,626
0.304523,0.052855,0.3305606,28395,17962,1634
0.2271711,0.2431477,0.088719,47352,19664,13981
0.3519978,0.1114361,0.2413876,39742,18156,4324
0.2303437,0.0940779,0.3487423,28878,17842,2080
0.2474317,0.281186,0.0741747,158813,69225,45330
0.3955492,0.1865371,0.0746038,27997,11534,6279
0.2543132,0.0864497,0.3054183,28817,17554,2996
0.3695348,0.1071155,0.2070117,60125,26099,7856
0.2828477,0.1940848,0.1098574,264695,105801,68744
0.3441448,0.0960712,0.2351654,107063,57106,14637
0.2707063,0.1138446,0.2952213,46601,29014,3753
0.3349975,0.0674161,0.3054737,35026,20989,2460
0.3120727,0.1129433,0.2261426,55844,27875,7928
0.3027582,0.1641262,0.1426067,110881,43087,25108
0.2473139,0.0995437,0.3474955,22869,14393,1161
0.2927831,0.0777735,0.2987716,35608,20153,3202
0.20292,0.0601069,0.455583,50546,9192,2678
0.2193554,0.050561,0.4387406,35011,11405,1770
0.351073,0.0829552,0.3447272,34992,16820,1252
0.2354588,0.0768845,0.4295086,25796,5147,1344
0.2839633,0.0533148,0.3657771,18098,6575,1171
0.3541977,0.0673905,0.3064007,46864,12468,4595
0.3086985,0.2682104,0.0896654,66689,25485,12881
0.2007938,0.040094,0.4790215,12452,6133,409
0.2006962,0.0559943,0.424898,30395,17349,2895
0.2936379,0.0818473,0.306488,95707,45237,11143
0.2925663,0.2366084,0.1202514,21884,7338,4609
0.2120883,0.5186391,0.0681144,16852,7579,1809
0.2188267,0.0421147,0.4217265,25687,15708,1542
0.1856146,0.052217,0.4866413,65137,12511,2524
0.3080384,0.0821124,0.2935311,35779,16532,4054
0.2743129,0.1661335,0.2368973,104496,44173,16112
0.2562163,0.0695159,0.3519056,61246,34598,6255
0.2814938,0.2543019,0.0875207,247750,71277,58324
0.3565407,0.1001511,0.2623006,37839,19004,3670
0.3158736,0.0535143,0.3589153,72893,44678,4321
0.2823243,0.267371,0.1032913,19531,8004,3822
0.3106914,0.1185433,0.2251359,190038,83671,32174
0.2783087,0.0519581,0.3920006,57899,32129,2284
0.2972495,0.2507683,0.0971112,21906,8448,4613
0.2834056,0.0702618,0.3594328,41009,24730,2643
0.3866493,0.0891502,0.2884783,38633,21877,2050
0.2668764,0.0542921,0.3595955,27968,13410,1571
0.3180889,0.0819817,0.2321469,52949,18894,11075
0.2485581,0.0689885,0.4068323,19365,11468,650
0.2845244,0.0992934,0.3097427,42670,19153,4602
0.2793773,0.1289578,0.2501808,136477,56317,21520
0.2065901,0.050943,0.4451478,75213,45496,3962
0.3086621,0.2589671,0.0955673,19119,9084,3596
0.3403353,0.0713834,0.2776518,34720,17038,3929
0.4126473,0.1090739,0.171567,52350,19640,9245
0.2793501,0.2561495,0.0742767,336683,131093,89539
0.223054,0.0555721,0.420587,52286,27853,2866
0.2693902,0.0704318,0.358833,24141,13851,2144
0.403057,0.0683954,0.2597241,22425,10150,1865
0.3512026,0.0916523,0.2347115,35356,15217,5315
0.2050857,0.0614365,0.3524951,18236,4153,3329
0.2642438,0.0808659,0.3107942,18208,10220,2661
0.4439501,0.0750674,0.1831568,21901,10033,3385
0.302983,0.2810489,0.1056736,16432,8798,2702
0.3513784,0.0654215,0.3214143,24308,12857,2448
0.2731728,0.3172278,0.1133603,32659,15283,5007
0.4062839,0.0748451,0.2145092,20516,5482,2943
0.2732098,0.2559672,0.0968297,45084,15513,10452
0.4029453,0.0599427,0.2481716,25081,9662,2560
0.2766534,0.1158634,0.2800612,19520,9436,3217
0.3225594,0.0931199,0.3046491,37761,21353,4029
0.2994497,0.0817417,0.2913969,32683,15250,4996
0.3195793,0.0987986,0.2479945,37628,17102,5925
0.3783076,0.1194798,0.1646347,20101,10064,3763
0.3398493,0.1224432,0.2264718,26759,11370,3996
0.325663,0.2077847,0.122506,153114,64507,31065
0.3622782,0.0961227,0.2319671,35460,16348,4832
0.3829977,0.1054491,0.2034296,52534,24524,7134
0.3204928,0.1053242,0.2728509,35206,15679,4644
0.4247037,0.1103184,0.1700906,59068,29772,7938
0.3413043,0.0945268,0.2537062,55391,12434,8865
0.4471953,0.1409483,0.0830903,19598,2415,4229
0.2641236,0.0708078,0.4033938,31313,6478,2285
0.3946651,0.1241238,0.0607801,49660,10808,17998
0.3427207,0.0884927,0.3139524,76402,14552,6323
0.3568138,0.1245987,0.069511,35627,8930,13560
0.3065823,0.0722016,0.2749778,49460,10958,9665
0.3366968,0.0980913,0.3284808,34624,7932,2183
0.2233643,0.3699897,0.1185258,83433,26490,13325
0.3848199,0.1198834,0.1330068,162921,43075,43191
0.4456535,0.1047101,0.2215821,64919,12889,5560
0.3001601,0.0656092,0.3758865,45180,16479,3368
0.274032,0.0780756,0.3981406,23189,5955,896
0.4230963,0.1742907,0.0972206,132654,47217,24006
0.2181409,0.0683681,0.4236698,25287,4303,2430
0.29478,0.06117,0.3515126,23646,12751,1543
0.2801946,0.0920505,0.3198966,40882,9171,5377
0.4278829,0.0839361,0.2040396,140178,68101,16916
0.3176608,0.1284987,0.2525101,101544,42460,13665
0.3191654,0.1359265,0.289566,124066,29861,9955
0.3210614,0.0737509,0.3052036,34591,16813,3630
0.3760858,0.0776699,0.2820644,19345,8071,1652
0.3625793,0.0946052,0.2292186,117944,48921,16392
0.3679402,0.174914,0.0745025,213237,70587,64667
0.2454945,0.084921,0.3658257,29110,5634,3392
0.3327757,0.1675306,0.0728173,503887,123158,172603
0.3736404,0.1357732,0.0637509,254728,70292,90959
0.3585506,0.1448726,0.1358488,124691,43867,30579
0.4339413,0.1386513,0.1261623,192538,68651,32735
0.3116781,0.0943566,0.3261193,30557,6042,3208
0.2787699,0.1090928,0.2775383,38461,4893,7248
0.3283487,0.1606147,0.0981696,273428,92055,82505
0.2972359,0.1002076,0.2584508,65811,32967,13754
0.2709893,0.2571782,0.1047467,22593,8896,5117
0.3371702,0.1308146,0.2364523,127101,32678,17283
0.2442966,0.0693728,0.4074097,18257,11251,2113
0.2612225,0.0805078,0.3181312,32838,16589,4866
0.2501019,0.0739021,0.368777,61183,36011,6890
0.2444968,0.0911354,0.3364969,119116,41647,15069
0.2689212,0.0893179,0.337262,29179,15773,3804
0.251963,0.0739858,0.369929,26779,13862,2884
0.1777941,0.0540441,0.4570588,15637,5282,1259
0.2995537,0.0782778,0.2790733,87826,40877,16336
0.2423239,0.2983065,0.0845322,127535,55134,31501
0.2363992,0.1187685,0.3540083,61157,32748,5933
0.2375572,0.0641839,0.398478,30213,17024,2462
0.3207361,0.0565232,0.3848646,26346,18656,2011
0.2503392,0.0758925,0.3600574,159699,92731,19833
0.263164,0.2163124,0.1369683,602938,232944,136938
0.1676171,0.0558882,0.3833761,28513,13387,5158
0.2379794,0.0947806,0.3226064,32293,16205,4308
0.179252,0.056916,0.4047644,23930,13431,2738
0.1718782,0.0606152,0.3947063,76073,25814,11555
0.251638,0.2007819,0.130649,150477,56464,37533
0.39697,0.1067053,0.1906685,42628,7527,6325
0.2778943,0.1081561,0.2643763,117736,32563,17973
0.2451263,0.2527272,0.1217538,70314,18277,15292
0.2973235,0.1043754,0.2629834,54447,23335,7883
0.3946947,0.1404736,0.126233,68928,14128,14745
0.2690047,0.2478991,0.0754323,553806,146845,154954
0.265967,0.1143547,0.2305317,168600,41021,35493
0.4479866,0.1114608,0.1080194,126571,25052,27685
0.2947971,0.2335093,0.083485,117056,27717,30074
0.3323049,0.1349739,0.168039,77135,14467,16690
0.3564583,0.0746406,0.2699627,92858,25366,8647
0.3141215,0.0924997,0.2669926,31622,8362,4115
0.2089788,0.061969,0.3804764,13679,3376,1727
0.1754052,0.072821,0.4157517,31900,8658,3603
0.1915499,0.0844419,0.3406848,105587,25716,16458
0.2424406,0.0982651,0.2861341,56088,19073,12176
0.1161234,0.055108,0.4718883,26588,9325,2034
0.2341809,0.1954484,0.170872,93859,29570,21206
0.2478534,0.1185885,0.3059991,71151,26731,8355
0.2811336,0.1149637,0.2665817,71019,21382,10838
0.1752808,0.0862771,0.4072928,28335,9066,1991
0.1439961,0.0505218,0.4931249,24290,11822,1278
0.1349588,0.0547322,0.4427134,22552,10833,1230
0.1432532,0.0470661,0.4759125,33176,14555,1897
0.136249,0.0499957,0.5010347,61012,20549,3456
0.1862392,0.0448006,0.4095387,16384,2719,3178
0.1331241,0.0475568,0.5263938,23115,5664,947
0.1719035,0.0538707,0.4786885,24526,8580,1845
0.1588739,0.0403359,0.4478104,21335,9876,2991
0.2217094,0.1428606,0.3028297,111442,33374,17598
0.2821761,0.2469374,0.0797826,371393,116679,101420
0.3486745,0.1959121,0.0654421,453019,119781,138941
0.3623067,0.1573023,0.0888492,507831,160062,147940
0.32507,0.1789661,0.0699079,486041,194112,142920
0.4065384,0.1523886,0.0797132,163467,52388,39198
0.3519236,0.1590447,0.1229156,213453,64349,47053
0.3631472,0.1153156,0.2025001,240603,79236,43868
0.3513817,0.1829423,0.0801219,92355,31253,26705
0.3495613,0.1315098,0.1650881,103347,32654,21564
0.3511198,0.1559545,0.0698824,122458,34020,41990
0.2825985,0.1470057,0.2455623,53524,17823,8655
0.3576075,0.0586066,0.2841145,18607,7595,1851
0.2350175,0.0481129,0.4067286,17828,6041,780
0.350977,0.0890832,0.2917695,28416,6381,1968
0.3609045,0.1240704,0.241127,18585,7111,1546
0.3067904,0.0771838,0.3147922,20696,5176,1930
0.3012745,0.0569475,0.3452285,18922,7451,1352
0.2483219,0.0360838,0.4117189,28903,8925,1264
0.2934035,0.0674386,0.3549474,32821,9985,2525
0.3477297,0.0451597,0.3403399,13141,3809,641
0.2986409,0.1027705,0.2987977,22880,6782,2282
0.3495883,0.1282457,0.2340722,24326,9822,2340
0.2402149,0.0362876,0.390142,17454,5629,1786
0.3210154,0.2618394,0.1121931,17851,6153,3186
0.2461345,0.1180747,0.3610101,22510,9255,1051
0.3122737,0.0535872,0.3538221,23727,5972,1378
0.3809772,0.0790593,0.2446845,30020,12072,2946
0.3351753,0.0579347,0.3050423,27217,7383,1609
0.2739887,0.2650488,0.0887258,580782,197232,129437
0.1950378,0.0386917,0.3903666,23638,10193,1477
0.3369823,0.0558483,0.344404,32642,12529,1975
0.3135432,0.2522684,0.1144841,13404,4349,2325
0.2690193,0.055052,0.3890788,15372,5059,452
0.2326729,0.0467967,0.4358184,13506,4270,526
0.3114886,0.1321386,0.265882,20249,7680,2071
0.367416,0.0976553,0.2614616,15225,6151,1202
0.3375984,0.0694133,0.312584,38113,10904,2504
0.265931,0.0601963,0.4078513,24209,8073,909
0.3710548,0.0859185,0.2841921,27662,8498,2214
0.3044971,0.0816515,0.3350641,13783,5758,945
0.3304408,0.0765176,0.3081789,28285,9201,2218
0.3956499,0.2189425,0.0747821,121306,35103,24539
0.2255266,0.0713915,0.3982892,28079,12115,1498
0.2319243,0.0645562,0.4196155,22880,10172,820
0.2372918,0.060382,0.3869184,15683,7212,1190
0.2364374,0.0700503,0.3855798,24433,10353,1414
0.2264999,0.0474871,0.4174219,15231,5123,812
0.2675133,0.0605486,0.3999838,38998,17314,1212
0.3355984,0.1131743,0.2883217,44569,16751,2757
0.1975086,0.0857439,0.4202076,16022,6298,512
0.3027034,0.1170008,0.297485,32403,13656,2317
0.2856939,0.0830754,0.3361084,31964,13759,2281
0.2239142,0.0672694,0.4252898,24961,9196,758
0.3025764,0.1162373,0.2899441,23891,10359,2048
0.2604301,0.0554644,0.394192,24028,11380,939
0.2028127,0.0729402,0.4184227,24830,13264,921
0.2682845,0.0428207,0.3974186,15865,6032,849
0.3481532,0.0785305,0.3235552,29700,14215,1379
0.1982815,0.0353164,0.45955,14173,7464,438
0.1843987,0.0220536,0.4640537,19281,5835,585
0.2245479,0.0828622,0.3664582,32109,9206,2816
0.2370877,0.0444539,0.4040749,15648,5747,604
0.244716,0.0336802,0.4220716,26169,8871,832
0.1226314,0.0407152,0.3679914,12742,3803,2415
0.3126374,0.0326673,0.3643856,21056,10383,952
0.2111576,0.0489261,0.3837099,21218,7499,2331
0.209511,0.0394997,0.379381,17004,5499,2103
0.2595984,0.0379189,0.3965541,15927,3402,757
0.2697277,0.1321445,0.2870987,38502,11844,4222
0.2738878,0.0325807,0.397828,11374,4481,564
0.2647798,0.1023633,0.3577329,16346,5674,673
0.2851436,0.0518922,0.3479673,26036,8816,2171
0.2640035,0.3177595,0.1214937,17310,7227,2513
0.2453908,0.0508468,0.4044381,26487,11835,1190
0.3011668,0.0580803,0.2823438,18331,6052,3045
0.2319693,0.048823,0.4037909,31216,11110,1894
0.2660092,0.0298742,0.4349628,14192,5057,452
0.2685638,0.2349334,0.1194788,15200,4659,3056
0.252629,0.0383142,0.3586859,15514,5419,1305
0.2840909,0.0343033,0.3873194,20940,5559,561
0.2437217,0.0519357,0.368755,29158,11546,1945
0.216202,0.038506,0.432404,10459,3591,686
0.2315531,0.0334973,0.4236941,19013,7362,1377
0.2707209,0.0716964,0.3246761,41254,9440,5973
0.295674,0.2222866,0.1001352,17057,4456,4259
0.2172341,0.0465769,0.4308517,17449,6311,767
0.1918921,0.070148,0.4092698,18040,4852,1425
0.2162142,0.0465774,0.4089484,15621,3743,1448
0.317556,0.0490851,0.3186151,31364,8990,3611
0.2198216,0.0459861,0.4267592,11411,3358,814
0.2026034,0.0457762,0.4367506,41214,14693,2163
0.2533633,0.143338,0.284892,116892,33307,15043
0.3417407,0.0690887,0.2834989,27421,7282,3444
0.2398527,0.0420622,0.4138298,13381,3822,1006
0.1720718,0.0350505,0.4662592,17477,6082,1049
0.3333033,0.3044693,0.0800144,14399,4160,2254
0.2043017,0.0377341,0.4308938,36270,10437,2621
0.2988086,0.2731136,0.1113582,36902,15469,5700
0.3192407,0.1352729,0.2301823,48628,25038,6245
0.3343093,0.0471717,0.2802245,29971,15712,4297
0.2583424,0.2289872,0.1137409,18720,9889,3867
0.1328784,0.0249195,0.5174053,14631,6624,466
0.2240403,0.0461656,0.3937337,26464,9045,2328
0.1933363,0.0335083,0.4340267,17943,6833,1031
0.4426134,0.1523928,0.1268414,48230,23941,6324
0.3209411,0.0700597,0.2636576,37514,12435,6484
0.3579753,0.0836448,0.2917455,28175,15232,1787
0.2892194,0.0782635,0.2874168,25273,9402,3714
0.4447072,0.0715207,0.2274046,22379,10973,1463
0.4741279,0.0645603,0.1987527,18743,10095,1613
0.2712051,0.0773298,0.0931923,5969,2872,2368
0.1542229,0.034816,0.4849087,17049,7111,982
0.4396409,0.0972023,0.1537064,23152,11256,3763
0.2926265,0.0421345,0.3217965,10842,5474,1258
0.1488449,0.0566158,0.4815999,12331,5103,463
0.4176723,0.0713226,0.199976,31605,14266,4493
0.2227567,0.0481594,0.4363627,22195,15515,653
0.3173647,0.265475,0.1051073,14967,7215,2415
0.1850628,0.0444631,0.4195157,19272,12538,1305
0.2304272,0.1110978,0.3600312,19520,6846,1541
0.3149586,0.0456519,0.3336403,9301,4578,907
0.3507642,0.2461081,0.1044438,20895,8087,3351
0.1988064,0.0310595,0.4543413,16962,8895,618
0.3431897,0.0490271,0.2707072,20527,12525,2742
0.3004608,0.1861253,0.0748038,54155,22458,16102
0.1685518,0.0513178,0.4572909,20896,14332,860
0.219715,0.0570071,0.3794141,15830,8967,1327
0.1971862,0.0373232,0.4513777,14837,5398,523
0.3574588,0.0772014,0.2137783,18996,7532,3350
0.197052,0.0384393,0.4421387,20377,14960,833
0.3035863,0.2248347,0.0808631,318254,124775,82200
0.2385967,0.0557001,0.3920574,18764,13508,1089
