statename,state,Year,Month,pop,laborforce_participation,Employed_prct,unemp_rate
South Dakota,SD,1976,2,478000,64.6,62.5,3.2
Tennessee,TN,1976,2,3084000,59,55.4,6
Texas,TX,1976,2,8844000,63.6,59.9,5.9
Utah,UT,1976,2,826000,62.8,59.2,5.8
Vermont,VT,1976,2,340000,62.8,57.3,8.7
Virginia,VA,1976,2,3543000,65.7,61.8,5.9
Washington,WA,1976,2,2604000,60.8,55.5,8.7
West Virginia,WV,1976,2,1355000,51.9,47.8,7.9
Wisconsin,WI,1976,2,3248000,65.4,61.6,5.8
Wyoming,WY,1976,2,271000,64.8,62.1,4.1
Alabama,AL,1976,3,2615000,57,53.2,6.6
Alaska,AK,1976,3,236000,67.4,62.7,7
Arizona,AZ,1976,3,1631000,59.6,53.5,10.2
Arkansas,AR,1976,3,1539000,57.3,53.1,7.4
California,CA,1976,3,15694000,62.3,56.7,9
Colorado,CO,1976,3,1841000,66.9,63.3,5.4
Connecticut,CT,1976,3,2253000,64,57.8,9.8
Delaware,DE,1976,3,418000,62.8,58,7.7
D.C.,DC,1976,3,519000,65.4,59.6,9
Florida,FL,1976,3,6452000,55.7,50.4,9.5
Georgia,GA,1976,3,3534000,63.7,58.3,8.4
Hawaii,HI,1976,3,586000,69.8,62.7,10.2
Idaho,ID,1976,3,583000,62.8,59.4,5.5
Illinois,IL,1976,3,8146000,63,58.8,6.7
Indiana,IN,1976,3,3797000,63.7,59.5,6.5
Iowa,IA,1976,3,2072000,63.9,61.2,4.2
Kansas,KS,1976,3,1640000,64.7,61.9,4.3
Kentucky,KY,1976,3,2470000,60.3,56.9,5.6
Louisiana,LA,1976,3,2685000,56.4,52.8,6.3
Maine,ME,1976,3,767000,62,56.6,8.7
Maryland,MD,1976,3,2962000,64.3,60.1,6.5
Massachusetts,MA,1976,3,4201000,64.6,58,10.3
Michigan,MI,1976,3,6430000,61.6,55.5,9.9
Minnesota,MN,1976,3,2797000,65.5,61.6,5.9
Mississippi,MS,1976,3,1647000,58.3,54.5,6.6
Missouri,MO,1976,3,3473000,60.1,56.5,6
Montana,MT,1976,3,533000,61.4,57.8,5.8
Nebraska,NE,1976,3,1097000,65.2,63.1,3.3
Nevada,NV,1976,3,456000,70.7,64.4,9
New Hampshire,NH,1976,3,596000,65.7,61.2,6.8
New Jersey,NJ,1976,3,5367000,61.2,54.9,10.2
New Mexico,NM,1976,3,798000,59.5,54.2,8.9
New York,NY,1976,3,13207000,58.2,52.2,10.2
North Carolina,NC,1976,3,3912000,66.4,62.1,6.4
North Dakota,ND,1976,3,444000,62.1,60,3.3
Ohio,OH,1976,3,7711000,61.7,56.7,8.1
Oklahoma,OK,1976,3,2007000,58.8,55.3,5.9
Oregon,OR,1976,3,1724000,62.2,56.2,9.6
Pennsylvania,PA,1976,3,8786000,58.1,53.4,8.1
Rhode Island,RI,1976,3,693000,62.8,57.7,8.1
South Carolina,SC,1976,3,1992000,64.8,60,7.5
South Dakota,SD,1976,3,478000,64.6,62.6,3.1
Tennessee,TN,1976,3,3091000,58.8,55.3,6
Texas,TX,1976,3,8870000,63.5,59.7,5.9
Utah,UT,1976,3,828000,62.7,59.1,5.8
Vermont,VT,1976,3,341000,62.6,57.2,8.7
Virginia,VA,1976,3,3551000,65.6,61.7,5.9
Washington,WA,1976,3,2611000,60.6,55.3,8.7
West Virginia,WV,1976,3,1358000,51.8,47.7,7.9
Wisconsin,WI,1976,3,3252000,65.3,61.6,5.7
Wyoming,WY,1976,3,272000,64.6,61.9,4.2
Alabama,AL,1976,4,2620000,56.9,53.2,6.5
Alaska,AK,1976,4,237000,67.6,62.9,7
Arizona,AZ,1976,4,1636000,59.6,53.6,10
Arkansas,AR,1976,4,1541000,57.3,53.1,7.3
California,CA,1976,4,15731000,62.3,56.7,9
Colorado,CO,1976,4,1846000,66.7,63.1,5.4
Connecticut,CT,1976,4,2255000,64.1,57.9,9.7
Delaware,DE,1976,4,419000,62.8,57.7,8
D.C.,DC,1976,4,518000,65.4,59.6,8.8
Florida,FL,1976,4,6468000,55.6,50.4,9.3
Georgia,GA,1976,4,3540000,63.7,58.4,8.2
Hawaii,HI,1976,4,588000,69.7,62.7,10.1
Idaho,ID,1976,4,585000,62.8,59.3,5.5
Illinois,IL,1976,4,8155000,63,58.8,6.6
Indiana,IN,1976,4,3801000,63.7,59.7,6.3
Iowa,IA,1976,4,2075000,64,61.3,4.1
Kansas,KS,1976,4,1642000,64.7,62,4.3
Kentucky,KY,1976,4,2475000,60.2,56.9,5.5
Louisiana,LA,1976,4,2692000,56.3,52.7,6.4
Maine,ME,1976,4,769000,61.9,56.5,8.7
Maryland,MD,1976,4,2966000,64.2,60.1,6.5
Massachusetts,MA,1976,4,4204000,64.6,58.1,10.2
Michigan,MI,1976,4,6436000,61.7,55.6,9.8
Minnesota,MN,1976,4,2802000,65.5,61.7,5.8
Mississippi,MS,1976,4,1650000,58.4,54.6,6.4
Missouri,MO,1976,4,3477000,60.3,56.7,6
Montana,MT,1976,4,534000,61.3,57.7,5.9
Nebraska,NE,1976,4,1098000,65.2,63.1,3.2
Nevada,NV,1976,4,458000,70.7,64.4,8.9
New Hampshire,NH,1976,4,598000,65.7,61.2,6.7
New Jersey,NJ,1976,4,5372000,61.3,55,10.3
New Mexico,NM,1976,4,801000,59.5,54.2,8.9
New York,NY,1976,4,13213000,58.2,52.3,10.2
North Carolina,NC,1976,4,3919000,66.3,62.2,6.3
North Dakota,ND,1976,4,444000,62.2,60.1,3.4
Ohio,OH,1976,4,7716000,61.7,56.7,8
Oklahoma,OK,1976,4,2011000,58.8,55.3,5.9
Oregon,OR,1976,4,1728000,62.1,56.3,9.4
Pennsylvania,PA,1976,4,8792000,58.2,53.4,8.2
Rhode Island,RI,1976,4,693000,62.8,57.8,8.1
South Carolina,SC,1976,4,1996000,64.7,60,7.3
South Dakota,SD,1976,4,479000,64.5,62.5,3.1
Tennessee,TN,1976,4,3097000,58.9,55.5,5.9
Texas,TX,1976,4,8896000,63.5,59.8,5.9
Utah,UT,1976,4,830000,62.7,59.1,5.7
Vermont,VT,1976,4,341000,62.8,57.4,8.7
Virginia,VA,1976,4,3559000,65.5,61.7,5.8
Washington,WA,1976,4,2617000,60.6,55.4,8.7
West Virginia,WV,1976,4,1360000,51.6,47.6,7.9
Wisconsin,WI,1976,4,3256000,65.4,61.7,5.6
Wyoming,WY,1976,4,273000,64.7,62,4.1
Alabama,AL,1976,5,2626000,56.8,53.1,6.4
Alaska,AK,1976,5,239000,67.7,62.9,7
Arizona,AZ,1976,5,1642000,59.6,53.8,9.8
Arkansas,AR,1976,5,1542000,57.4,53.2,7.2
California,CA,1976,5,15768000,62.3,56.8,8.9
Colorado,CO,1976,5,1850000,66.5,62.9,5.5
Connecticut,CT,1976,5,2257000,64.3,58.1,9.6
Delaware,DE,1976,5,420000,62.8,57.5,8.4
D.C.,DC,1976,5,518000,65.1,59.4,8.7
Florida,FL,1976,5,6483000,55.5,50.4,9.1
Georgia,GA,1976,5,3547000,63.7,58.6,8.1
Hawaii,HI,1976,5,590000,69.6,62.7,9.9
Idaho,ID,1976,5,587000,62.9,59.4,5.6
Illinois,IL,1976,5,8164000,63,58.9,6.5
Indiana,IN,1976,5,3806000,63.7,59.9,6
Iowa,IA,1976,5,2078000,64.1,61.5,4
Kansas,KS,1976,5,1644000,64.9,62.1,4.2
Kentucky,KY,1976,5,2480000,60.1,56.8,5.5
Louisiana,LA,1976,5,2699000,56.4,52.7,6.6
Maine,ME,1976,5,771000,61.8,56.5,8.6
Maryland,MD,1976,5,2971000,64.2,60,6.6
Massachusetts,MA,1976,5,4207000,64.6,58.2,9.9
Michigan,MI,1976,5,6442000,61.8,55.9,9.6
Minnesota,MN,1976,5,2806000,65.6,61.9,5.7
Mississippi,MS,1976,5,1653000,58.5,54.8,6.2
Missouri,MO,1976,5,3481000,60.5,56.9,6.1
Montana,MT,1976,5,535000,61.2,57.6,5.9
Nebraska,NE,1976,5,1100000,65.1,63.1,3.1
Nevada,NV,1976,5,460000,70.9,64.7,8.8
New Hampshire,NH,1976,5,599000,65.9,61.5,6.6
New Jersey,NJ,1976,5,5376000,61.4,55.1,10.3
New Mexico,NM,1976,5,804000,59.5,54.2,8.9
New York,NY,1976,5,13219000,58.2,52.3,10.2
North Carolina,NC,1976,5,3926000,66.3,62.3,6.1
North Dakota,ND,1976,5,445000,62.3,60.1,3.5
Ohio,OH,1976,5,7721000,61.6,56.7,7.9
Oklahoma,OK,1976,5,2015000,58.7,55.3,5.8
Oregon,OR,1976,5,1732000,62.1,56.4,9.2
Pennsylvania,PA,1976,5,8798000,58.2,53.5,8.1
Rhode Island,RI,1976,5,694000,62.8,57.8,8
South Carolina,SC,1976,5,2001000,64.5,59.9,7.1
South Dakota,SD,1976,5,480000,64.3,62.4,3
Tennessee,TN,1976,5,3103000,59.2,55.8,5.8
Texas,TX,1976,5,8922000,63.7,60,5.9
Utah,UT,1976,5,833000,62.8,59.3,5.6
Vermont,VT,1976,5,342000,62.9,57.5,8.6
Virginia,VA,1976,5,3567000,65.5,61.7,5.8
Washington,WA,1976,5,2623000,60.8,55.5,8.7
West Virginia,WV,1976,5,1363000,51.4,47.4,7.8
Wisconsin,WI,1976,5,3260000,65.4,61.8,5.5
Wyoming,WY,1976,5,274000,64.9,62.3,4.1
Alabama,AL,1976,6,2631000,56.8,53.1,6.5
Alaska,AK,1976,6,240000,68.2,63.3,7.1
Arizona,AZ,1976,6,1647000,59.8,54,9.6
Arkansas,AR,1976,6,1544000,57.5,53.5,7
California,CA,1976,6,15804000,62.5,56.9,8.9
Colorado,CO,1976,6,1855000,66.4,62.7,5.6
Connecticut,CT,1976,6,2259000,64.5,58.4,9.5
Delaware,DE,1976,6,420000,62.9,57.4,8.8
D.C.,DC,1976,6,517000,64.9,59.3,8.7
Florida,FL,1976,6,6499000,55.4,50.5,8.9
Georgia,GA,1976,6,3553000,63.8,58.7,8
Hawaii,HI,1976,6,591000,69.5,62.8,9.6
Idaho,ID,1976,6,588000,63.3,59.7,5.6
Illinois,IL,1976,6,8174000,63,58.9,6.5
Indiana,IN,1976,6,3810000,63.9,60.2,5.8
Iowa,IA,1976,6,2081000,64.2,61.7,3.9
Kansas,KS,1976,6,1647000,65,62.2,4.2
Kentucky,KY,1976,6,2485000,60.1,56.8,5.4
Louisiana,LA,1976,6,2705000,56.5,52.7,6.8
Maine,ME,1976,6,772000,61.8,56.5,8.5
Maryland,MD,1976,6,2975000,64.3,60,6.7
Massachusetts,MA,1976,6,4210000,64.7,58.4,9.7
Michigan,MI,1976,6,6448000,62,56.1,9.4
Minnesota,MN,1976,6,2811000,65.7,62,5.6
Mississippi,MS,1976,6,1656000,58.6,54.9,6.2
Missouri,MO,1976,6,3485000,60.8,57.1,6.1
Montana,MT,1976,6,536000,61.2,57.5,5.9
Nebraska,NE,1976,6,1101000,65.2,63.1,3.1
Nevada,NV,1976,6,462000,71.1,64.9,8.7
New Hampshire,NH,1976,6,601000,66,61.7,6.5
New Jersey,NJ,1976,6,5381000,61.5,55.1,10.4
New Mexico,NM,1976,6,807000,59.5,54.3,8.9
New York,NY,1976,6,13224000,58.3,52.4,10.2
North Carolina,NC,1976,6,3933000,66.4,62.5,5.9
North Dakota,ND,1976,6,446000,62.4,60.2,3.6
Ohio,OH,1976,6,7726000,61.5,56.8,7.7
Oklahoma,OK,1976,6,2019000,58.7,55.3,5.7
Oregon,OR,1976,6,1736000,62.3,56.6,9.1
Pennsylvania,PA,1976,6,8804000,58.2,53.6,8
Rhode Island,RI,1976,6,695000,62.8,57.8,8
South Carolina,SC,1976,6,2005000,64.5,59.9,7
South Dakota,SD,1976,6,480000,64.4,62.4,3
Tennessee,TN,1976,6,3110000,59.5,56.1,5.8
Texas,TX,1976,6,8948000,63.9,60.1,5.8
Utah,UT,1976,6,835000,63,59.5,5.5
Vermont,VT,1976,6,342000,63.2,57.8,8.5
Virginia,VA,1976,6,3575000,65.4,61.7,5.8
Washington,WA,1976,6,2630000,61,55.7,8.8
West Virginia,WV,1976,6,1366000,51.1,47.2,7.6
Wisconsin,WI,1976,6,3263000,65.6,62,5.4
Wyoming,WY,1976,6,275000,65.2,62.6,4
Alabama,AL,1976,7,2636000,56.8,53.1,6.6
Alaska,AK,1976,7,242000,68.3,63.3,7.3
Arizona,AZ,1976,7,1652000,59.9,54.2,9.4
Arkansas,AR,1976,7,1545000,57.7,53.7,6.9
California,CA,1976,7,15841000,62.6,56.9,9
Colorado,CO,1976,7,1859000,66.5,62.6,5.8
Connecticut,CT,1976,7,2261000,64.7,58.6,9.3
Delaware,DE,1976,7,421000,63,57.2,9.2
D.C.,DC,1976,7,517000,64.6,59,8.8
Florida,FL,1976,7,6514000,55.4,50.5,8.8
Georgia,GA,1976,7,3559000,64,58.9,7.9
Hawaii,HI,1976,7,593000,69.2,62.8,9.3
Idaho,ID,1976,7,590000,63.4,59.9,5.6
Illinois,IL,1976,7,8183000,63,58.8,6.6
Indiana,IN,1976,7,3814000,64,60.4,5.7
Iowa,IA,1976,7,2084000,64.3,61.8,3.9
Kansas,KS,1976,7,1649000,65.1,62.4,4.2
Kentucky,KY,1976,7,2490000,60,56.8,5.4
Louisiana,LA,1976,7,2712000,56.5,52.6,6.9
Maine,ME,1976,7,774000,61.6,56.4,8.5
Maryland,MD,1976,7,2979000,64.4,60,6.7
Massachusetts,MA,1976,7,4213000,64.6,58.6,9.4
Michigan,MI,1976,7,6454000,62.1,56.4,9.2
Minnesota,MN,1976,7,2815000,65.8,62.2,5.6
Mississippi,MS,1976,7,1659000,58.6,55,6.2
Missouri,MO,1976,7,3489000,61.1,57.3,6.2
Montana,MT,1976,7,537000,61.2,57.6,6
Nebraska,NE,1976,7,1102000,65.2,63.2,3.1
Nevada,NV,1976,7,464000,71.3,65.1,8.6
New Hampshire,NH,1976,7,602000,66.2,62,6.4
New Jersey,NJ,1976,7,5385000,61.6,55.2,10.4
New Mexico,NM,1976,7,810000,59.6,54.3,8.9
New York,NY,1976,7,13230000,58.3,52.4,10.2
North Carolina,NC,1976,7,3940000,66.4,62.5,5.9
North Dakota,ND,1976,7,447000,62.5,60.2,3.8
Ohio,OH,1976,7,7731000,61.4,56.8,7.6
Oklahoma,OK,1976,7,2023000,58.7,55.4,5.7
Oregon,OR,1976,7,1740000,62.5,56.9,9
Pennsylvania,PA,1976,7,8810000,58.2,53.6,7.9
Rhode Island,RI,1976,7,696000,62.8,57.7,8.1
South Carolina,SC,1976,7,2009000,64.4,59.9,6.9
South Dakota,SD,1976,7,481000,64.3,62.3,3.1
Tennessee,TN,1976,7,3116000,59.9,56.3,5.9
Texas,TX,1976,7,8974000,64,60.3,5.8
Utah,UT,1976,7,837000,63.2,59.7,5.5
Vermont,VT,1976,7,343000,63.2,58,8.3
Virginia,VA,1976,7,3583000,65.4,61.6,5.8
Washington,WA,1976,7,2636000,61.4,56,8.8
West Virginia,WV,1976,7,1369000,50.8,47.1,7.4
Wisconsin,WI,1976,7,3267000,65.7,62.2,5.4
Wyoming,WY,1976,7,276000,65.4,62.9,3.9
Alabama,AL,1976,8,2641000,56.9,53,6.8
Alaska,AK,1976,8,243000,68.5,63.3,7.6
Arizona,AZ,1976,8,1658000,59.9,54.3,9.4
Arkansas,AR,1976,8,1548000,57.8,53.9,6.7
California,CA,1976,8,15879000,62.7,57,9.1
Colorado,CO,1976,8,1865000,66.5,62.6,6
Connecticut,CT,1976,8,2263000,64.7,58.8,9.2
Delaware,DE,1976,8,422000,62.9,57,9.4
D.C.,DC,1976,8,517000,64.4,58.7,8.9
Florida,FL,1976,8,6532000,55.2,50.4,8.8
Georgia,GA,1976,8,3567000,64,58.9,8
Hawaii,HI,1976,8,594000,69.1,62.8,9
Idaho,ID,1976,8,592000,63.6,60,5.6
Illinois,IL,1976,8,8192000,63,58.8,6.6
Indiana,IN,1976,8,3819000,64.1,60.4,5.7
Iowa,IA,1976,8,2086000,64.4,62,3.8
Kansas,KS,1976,8,1651000,65.2,62.5,4.1
Kentucky,KY,1976,8,2494000,60,56.8,5.3
Louisiana,LA,1976,8,2718000,56.5,52.6,7
Maine,ME,1976,8,775000,61.6,56.4,8.5
Maryland,MD,1976,8,2984000,64.4,60,6.7
Massachusetts,MA,1976,8,4217000,64.6,58.7,9.2
Michigan,MI,1976,8,6462000,62.1,56.5,9.1
Minnesota,MN,1976,8,2819000,66,62.2,5.7
Mississippi,MS,1976,8,1662000,58.7,54.9,6.4
Missouri,MO,1976,8,3493000,61.3,57.5,6.3
Montana,MT,1976,8,538000,61.4,57.7,6
Nebraska,NE,1976,8,1103000,65.3,63.3,3.1
Nevada,NV,1976,8,466000,71.3,65.2,8.6
New Hampshire,NH,1976,8,604000,66.3,62.1,6.3
New Jersey,NJ,1976,8,5389000,61.7,55.2,10.5
New Mexico,NM,1976,8,813000,59.6,54.4,8.8
New York,NY,1976,8,13231000,58.3,52.3,10.2
North Carolina,NC,1976,8,3948000,66.4,62.4,6
North Dakota,ND,1976,8,448000,62.6,60.2,3.9
Ohio,OH,1976,8,7738000,61.4,56.7,7.5
Oklahoma,OK,1976,8,2027000,58.7,55.4,5.6
Oregon,OR,1976,8,1745000,62.7,57,9.1
Pennsylvania,PA,1976,8,8816000,58.2,53.7,7.8
Rhode Island,RI,1976,8,697000,62.8,57.6,8.2
South Carolina,SC,1976,8,2014000,64.4,59.9,6.9
South Dakota,SD,1976,8,482000,64.3,62.2,3.2
Tennessee,TN,1976,8,3122000,60.1,56.5,6
Texas,TX,1976,8,8997000,64,60.3,5.7
Utah,UT,1976,8,840000,63.2,59.8,5.5
Vermont,VT,1976,8,344000,63.2,58.1,8.2
Virginia,VA,1976,8,3590000,65.4,61.5,5.8
Washington,WA,1976,8,2643000,61.8,56.2,8.9
West Virginia,WV,1976,8,1371000,50.6,47,7
Wisconsin,WI,1976,8,3272000,65.8,62.2,5.4
Wyoming,WY,1976,8,277000,65.6,63.1,3.9
Alabama,AL,1976,9,2645000,57,53.1,6.9
Alaska,AK,1976,9,243000,68.9,63.4,7.9
Arizona,AZ,1976,9,1665000,59.9,54.3,9.3
Arkansas,AR,1976,9,1552000,57.9,54,6.6
California,CA,1976,9,15916000,62.7,57,9.2
Colorado,CO,1976,9,1870000,66.7,62.6,6.1
Connecticut,CT,1976,9,2265000,64.7,58.9,9
Delaware,DE,1976,9,422000,63.1,57,9.6
D.C.,DC,1976,9,516000,64.3,58.5,9
Florida,FL,1976,9,6549000,55.1,50.3,8.8
Georgia,GA,1976,9,3574000,64.1,59,8
Hawaii,HI,1976,9,596000,68.8,62.7,8.8
Idaho,ID,1976,9,594000,63.7,60.1,5.6
Illinois,IL,1976,9,8200000,62.9,58.8,6.6
Indiana,IN,1976,9,3823000,64.1,60.4,5.7
Iowa,IA,1976,9,2089000,64.5,62,3.8
Kansas,KS,1976,9,1653000,65.3,62.6,4.1
Kentucky,KY,1976,9,2499000,59.9,56.7,5.3
Louisiana,LA,1976,9,2723000,56.5,52.5,7
Maine,ME,1976,9,777000,61.5,56.2,8.6
Maryland,MD,1976,9,2988000,64.4,60.1,6.7
Massachusetts,MA,1976,9,4220000,64.6,58.7,9.1
Michigan,MI,1976,9,6470000,62.1,56.5,9
Minnesota,MN,1976,9,2823000,66.1,62.3,5.8
Mississippi,MS,1976,9,1665000,58.7,54.9,6.5
Missouri,MO,1976,9,3497000,61.5,57.5,6.4
Montana,MT,1976,9,539000,61.6,57.9,6
Nebraska,NE,1976,9,1104000,65.4,63.4,3.2
Nevada,NV,1976,9,469000,71.1,65,8.7
New Hampshire,NH,1976,9,606000,66.4,62.2,6.3
New Jersey,NJ,1976,9,5394000,61.7,55.2,10.5
New Mexico,NM,1976,9,815000,59.8,54.5,8.9
New York,NY,1976,9,13233000,58.2,52.2,10.2
North Carolina,NC,1976,9,3955000,66.3,62.2,6.1
North Dakota,ND,1976,9,448000,62.7,60.3,3.9
Ohio,OH,1976,9,7745000,61.3,56.7,7.5
Oklahoma,OK,1976,9,2030000,58.7,55.4,5.5
Oregon,OR,1976,9,1751000,63,57.2,9.2
Pennsylvania,PA,1976,9,8822000,58.2,53.7,7.7
Rhode Island,RI,1976,9,698000,62.8,57.6,8.3
South Carolina,SC,1976,9,2018000,64.4,59.9,6.9
South Dakota,SD,1976,9,482000,64.4,62.3,3.3
Tennessee,TN,1976,9,3129000,60.3,56.6,6.1
Texas,TX,1976,9,9021000,64,60.3,5.7
Utah,UT,1976,9,842000,63.3,59.9,5.4
Vermont,VT,1976,9,345000,63.2,58.2,8
Virginia,VA,1976,9,3598000,65.3,61.5,5.8
Washington,WA,1976,9,2650000,62.1,56.5,9
West Virginia,WV,1976,9,1374000,50.3,46.9,6.7
Wisconsin,WI,1976,9,3276000,65.8,62.3,5.4
Wyoming,WY,1976,9,278000,65.7,63.2,3.8
Alabama,AL,1976,10,2650000,57.1,53.1,7
Alaska,AK,1976,10,244000,68.8,63.2,8.1
Arizona,AZ,1976,10,1671000,60,54.4,9.3
Arkansas,AR,1976,10,1555000,58,54.2,6.6
California,CA,1976,10,15954000,62.8,57,9.3
Colorado,CO,1976,10,1876000,66.9,62.7,6.2
Connecticut,CT,1976,10,2267000,64.7,59,8.8
Delaware,DE,1976,10,423000,63.1,57,9.7
D.C.,DC,1976,10,516000,64.1,58.3,9.1
Florida,FL,1976,10,6567000,55,50.1,8.9
Georgia,GA,1976,10,3582000,64.2,59,8.1
Hawaii,HI,1976,10,597000,68.7,62.8,8.6
Idaho,ID,1976,10,595000,63.9,60.3,5.6
Illinois,IL,1976,10,8209000,62.9,58.8,6.6
Indiana,IN,1976,10,3828000,64,60.3,5.8
Iowa,IA,1976,10,2091000,64.7,62.2,3.9
Kansas,KS,1976,10,1655000,65.4,62.6,4.1
Kentucky,KY,1976,10,2503000,59.9,56.8,5.2
Louisiana,LA,1976,10,2729000,56.4,52.5,7
Maine,ME,1976,10,778000,61.5,56.1,8.7
Maryland,MD,1976,10,2993000,64.4,60.1,6.8
Massachusetts,MA,1976,10,4224000,64.6,58.8,8.9
Michigan,MI,1976,10,6477000,62.1,56.6,9
Minnesota,MN,1976,10,2827000,66.3,62.4,5.8
Mississippi,MS,1976,10,1667000,58.7,54.8,6.6
Missouri,MO,1976,10,3501000,61.6,57.5,6.5
Montana,MT,1976,10,540000,61.9,58.2,6
Nebraska,NE,1976,10,1105000,65.6,63.5,3.2
Nevada,NV,1976,10,471000,71.1,64.9,8.7
