"","state.name","date","pollster","grade","samplesize","population","clinton","trump","poll_id","question_id","state"
"173","New Hampshire","11/1/16","Suffolk University","B+",500,"lv",41.8,42.2,48194,75475,"NH"
"174","Pennsylvania","11/2/16","Harper Polling","B-",504,"lv",46,46,48343,75732,"PA"
"175","Michigan","11/6/16","Mitchell Research & Communications","D",1011,"lv",47,41,48859,76462,"MI"
"176","Idaho","10/22/16","Emerson College","B",1023,"lv",23,52,47339,74075,"ID"
"177","North Carolina","10/25/16","Elon University","B+",710,"lv",42,41.2,47937,74993,"NC"
"178","New Mexico","11/4/16","SurveyMonkey","C-",749,"lv",40,38,48891,76581,"NM"
"179","Michigan","11/3/16","Strategic National","",573,"lv",44,44,48345,75735,"MI"
"180","Pennsylvania","10/30/16","Monmouth University","A+",403,"lv",48,44,48092,75255,"PA"
"181","Utah","10/30/16","Rasmussen Reports/Pulse Opinion Research","C+",750,"lv",31,42,48193,75474,"UT"
"182","New Hampshire","11/4/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",46,40,48678,76241,"NH"
"183","North Carolina","11/4/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",49,43,48679,76242,"NC"
"184","Pennsylvania","11/4/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",44,46,48681,76244,"PA"
"185","Ohio","11/4/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",44,43,48680,76243,"OH"
"186","Nevada","11/4/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",44,44,48677,76240,"NV"
"187","Georgia","10/23/16","Quinnipiac University","A-",707,"lv",43,44,47617,74521,"GA"
"188","Mississippi","11/4/16","SurveyMonkey","C-",719,"lv",42,50,48884,76574,"MS"
"189","Florida","11/4/16","Rasmussen Reports/Pulse Opinion Research","C+",525,"lv",47,45,48676,76239,"FL"
"190","Georgia","10/18/16","Time/Abt SRBI","A-",839,"lv",42,44,47158,73792,"GA"
"191","New Hampshire","11/4/16","SurveyMonkey","C-",696,"lv",47,38,48889,76579,"NH"
"192","Missouri","10/29/16","Monmouth University","A+",405,"lv",38,52,47996,75057,"MO"
"193","Iowa","11/2/16","Loras College","B-",500,"lv",44.2,43.4,48466,75944,"IA"
"194","Maine","10/22/16","University of New Hampshire","B+",670,"lv",48,37,47772,74763,"ME"
"195","New Hampshire","11/1/16","American Research Group","C+",600,"lv",43,48,48187,75460,"NH"
"196","Virginia","10/30/16","Roanoke College","C+",654,"lv",45,38,48267,75632,"VA"
"197","Missouri","10/25/16","Mason-Dixon Polling & Research, Inc.","B+",625,"lv",42,47,47629,74545,"MO"
"198","North Carolina","10/26/16","Emerson College","B",650,"lv",48,45,47759,74742,"NC"
"199","Colorado","10/30/16","University of Denver","",550,"lv",39,39,48123,75387,"CO"
"200","Indiana","10/28/16","Monmouth University","A+",402,"lv",39,50,47857,74885,"IN"
"201","Idaho","11/4/16","SurveyMonkey","C-",612,"lv",29,47,48872,76562,"ID"
"202","Wisconsin","10/31/16","Loras College","B-",500,"lv",43.9,37.9,48334,75715,"WI"
"203","Utah","11/2/16","Y2 Analytics","C+",500,"lv",24,33,48339,75726,"UT"
"204","Florida","10/24/16","Saint Leo University","C+",1028,"lv",50.4,36.95,47639,74562,"FL"
"205","Missouri","10/29/16","DFM Research","B-",508,"lv",38,47,48121,75384,"MO"
"206","Kentucky","10/27/16","Google Consumer Surveys","B",1004,"a",24.8,38.2,48192,75472,"KY"
"207","Florida","10/27/16","TargetSmart/William & Mary","",718,"lv",48,40,48018,75145,"FL"
"208","Illinois","10/17/16","Victory Research","",1200,"lv",51.2,36.1,47315,74028,"IL"
"209","Washington","11/5/16","Insights West","",402,"lv",51,36,48915,76605,"WA"
"210","California","11/5/16","Insights West","",401,"lv",58,35,48913,76603,"CA"
"211","Georgia","11/2/16","Opinion Savvy/InsiderAdvantage","C-",538,"lv",44.7,48.5,48341,75728,"GA"
"212","Arizona","11/5/16","Insights West","",392,"lv",45,47,48912,76602,"AZ"
"213","Colorado","11/1/16","Magellan Strategies","C",500,"lv",44.1,37.6,48202,75506,"CO"
"214","Illinois","10/28/16","Emerson College","B",500,"lv",53,41,47878,74931,"IL"
"215","Arkansas","10/21/16","University of Arkansas","A-",585,"lv",31.3,51.1,48093,75258,"AR"
"216","Ohio","10/25/16","Trafalgar Group","C",1150,"lv",44.15,48.54,48073,75203,"OH"
"217","Nevada","10/30/16","JMC Enterprises","C",600,"lv",45,45,48096,75268,"NV"
"218","Nevada","10/21/16","Bendixen & Amandi International","",800,"lv",48,41,47318,74036,"NV"
"219","Illinois","10/26/16","Loras College","B-",600,"lv",45,34,48000,75067,"IL"
"220","New Mexico","10/30/16","The Times-Picayune/Lucid","",567,"lv",39,31,48105,75316,"NM"
"221","Nevada","11/5/16","Insights West","",373,"lv",42,42,48914,76604,"NV"
"222","Oregon","10/27/16","Davis, Hibbitts & Midghall, Inc.","B",504,"lv",41,34,48017,75108,"OR"
"223","Florida","10/19/16","Associated Industries of Florida","",1000,"lv",44,41,47462,74247,"FL"
"224","Kentucky","10/27/16","Western Kentucky University","C+",602,"lv",37,54,47938,74995,"KY"
"225","Florida","10/25/16","Dixie Strategies","C+",698,"lv",42.4,45.7,47621,74529,"FL"
"226","Minnesota","10/21/16","Mason-Dixon Polling & Research, Inc.","B+",625,"lv",47,39,47319,74037,"MN"
"227","Texas","10/23/16","Crosswind Media & Public Relations","C+",800,"lv",38,45,47529,74324,"TX"
"228","Utah","10/23/16","Dan Jones & Associates","C+",823,"lv",24,32,47781,74795,"UT"
"229","Massachusetts","10/28/16","Western New England University","A-",417,"lv",56,26,48324,75697,"MA"
"230","West Virginia","11/4/16","SurveyMonkey","C-",472,"lv",29,56,48908,76598,"WV"
"231","South Dakota","10/20/16","Remington","",1115,"lv",37,48,47346,74087,"SD"
"232","Pennsylvania","10/25/16","Emerson College","B",550,"lv",48,43,47654,74627,"PA"
"233","South Dakota","11/4/16","SurveyMonkey","C-",459,"lv",32,53,48901,76591,"SD"
"234","Vermont","11/4/16","SurveyMonkey","C-",454,"lv",61,25,48905,76595,"VT"
"235","Washington","10/21/16","Elway Research","A+",502,"lv",48,31,47316,74029,"WA"
"236","Montana","11/4/16","SurveyMonkey","C-",449,"lv",30,52,48886,76576,"MT"
"237","Idaho","10/23/16","Rasmussen Reports/Pulse Opinion Research","C+",750,"lv",29,48,47609,74508,"ID"
"238","Massachusetts","10/25/16","Suffolk University","B+",500,"lv",57,25,47614,74513,"MA"
"239","New Hampshire","10/19/16","YouGov","B",772,"lv",43,38,47326,74384,"NH"
"240","Florida","10/26/16","Emerson College","B",500,"lv",46,45,47756,74739,"FL"
"241","Maine","10/25/16","Maine People's Resource Center","C",812,"lv",42,37,47997,75062,"ME"
"242","Hawaii","11/4/16","SurveyMonkey","C-",426,"lv",52,28,48871,76561,"HI"
"243","North Carolina","10/21/16","Siena College","A",792,"lv",46,39,47325,74046,"NC"
"244","Montana","10/11/16","Mason-Dixon Polling & Research, Inc.","B+",1003,"lv",36,46,46870,73327,"MT"
"245","Maine CD-1","10/29/16","Emerson College","B",375,"lv",48.8,42.5,47935,74991,"ME"
"246","Maine CD-2","10/29/16","Emerson College","B",375,"lv",43.6,42.2,47936,74992,"ME"
"247","Rhode Island","11/4/16","SurveyMonkey","C-",415,"lv",48,36,48899,76589,"RI"
"248","Pennsylvania","10/9/16","Selzer & Company","A+",806,"lv",48,39,46776,73148,"PA"
"249","Nebraska CD-3","9/25/16","Emerson College","B",700,"lv",20,65,46232,72291,"NE"
"250","Nebraska CD-1","9/25/16","Emerson College","B",700,"lv",29,53,46230,72289,"NE"
"251","New Hampshire","10/23/16","Monmouth University","A+",401,"lv",46,42,47528,74322,"NH"
"252","Alaska","11/4/16","SurveyMonkey","C-",409,"lv",31,48,48861,76551,"AK"
"253","Michigan","10/25/16","Emerson College","B",500,"lv",50,43,47653,74626,"MI"
"254","Maine CD-2","10/10/16","Clarity Campaign Labs","B",932,"lv",39,39,47088,73701,"ME"
"255","Louisiana","10/18/16","Mason-Dixon Polling & Research, Inc.","B+",625,"lv",34,54,47155,73788,"LA"
"256","Alaska","10/26/16","Google Consumer Surveys","B",446,"lv",38,39,47764,74752,"AK"
"257","North Carolina","10/12/16","CNN/Opinion Research Corp.","A-",788,"lv",48,47,46883,73344,"NC"
"258","Arizona","10/22/16","Monmouth University","A+",401,"lv",45,46,47340,74077,"AZ"
"259","Florida","10/29/16","Quinnipiac University","A-",626,"lv",46,45,48098,75305,"FL"
"260","Ohio","10/12/16","CNN/Opinion Research Corp.","A-",774,"lv",44,48,46885,73352,"OH"
"261","Nevada","10/13/16","YouGov","B",996,"lv",46,40,46867,73320,"NV"
"262","North Carolina","10/29/16","Quinnipiac University","A-",602,"lv",47,44,48099,75306,"NC"
"263","Delaware","11/4/16","SurveyMonkey","C-",367,"lv",50,39,48868,76558,"DE"
"264","Idaho","10/26/16","Google Consumer Surveys","B",417,"lv",29,41,47763,74751,"ID"
"265","Wisconsin","10/27/16","Emerson College","B",400,"lv",48,42,47758,74741,"WI"
"266","Ohio","10/11/16","Marist College","A",724,"lv",41,42,46789,73167,"OH"
"267","North Carolina","10/21/16","Monmouth University","A+",402,"lv",47,46,47254,73952,"NC"
"268","Wisconsin","10/14/16","St. Norbert College","A-",664,"lv",47,39,47014,73509,"WI"
"269","North Carolina","10/17/16","The Times-Picayune/Lucid","",924,"lv",42,41,47252,73946,"NC"
"270","Indiana","10/31/16","Gravis Marketing","B-",399,"rv",39,49,48346,75736,"IN"
"271","Colorado","10/13/16","Quinnipiac University","A-",685,"lv",45,37,46941,73423,"CO"
"272","Florida","11/3/16","Ipsos","A-",888,"lv",47.66,46.77,48691,76272,"FL"
"273","Vermont","10/20/16","Braun Research","C+",603,"lv",50,22,47338,74372,"VT"
"274","Texas","10/11/16","University of Houston","B",1000,"lv",38,41,47033,73551,"TX"
"275","California","11/4/16","Google Consumer Surveys","B",1616,"lv",47.88,26.4,48797,76386,"CA"
"276","Texas","10/11/16","SurveyUSA","A",638,"lv",43,47,46796,73189,"TX"
"277","Florida","10/17/16","The Times-Picayune/Lucid","",892,"lv",45,39,47250,73944,"FL"
"278","Virginia","10/17/16","The Times-Picayune/Lucid","",802,"lv",43,38,47249,73943,"VA"
"279","North Dakota","11/4/16","SurveyMonkey","C-",313,"lv",29,57,48894,76584,"ND"
"280","District of Columbia","11/4/16","SurveyMonkey","C-",310,"lv",85,7,48867,76557,"DC"
"281","North Carolina","10/15/16","National Research, Inc.","B+",600,"lv",44,42,47085,73695,"NC"
"282","Oregon","10/11/16","SurveyUSA","A",654,"lv",48,38,46794,73186,"OR"
"283","Florida","11/4/16","Google Consumer Surveys","B",1350,"lv",36.53,41.36,48802,76391,"FL"
"284","Nevada","10/10/16","Clarity Campaign Labs","B",1010,"lv",43,43,46779,73151,"NV"
"285","New York","11/4/16","Google Consumer Surveys","B",1308,"lv",39.83,33.29,48827,76416,"NY"
"286","Illinois","11/4/16","Google Consumer Surveys","B",1256,"lv",38.27,31.55,48807,76396,"IL"
"287","Maine CD-2","10/22/16","University of New Hampshire","B+",341,"lv",43,40,47774,74785,"ME"
"288","Oklahoma","10/19/16","SoonerPoll.com","B",530,"lv",29.6,59.6,47238,73922,"OK"
"289","California","11/3/16","Ipsos","A-",726,"lv",58.85,31.74,48690,76271,"CA"
"290","Texas","11/4/16","Google Consumer Surveys","B",1155,"lv",32.29,42.48,48836,76425,"TX"
"291","Pennsylvania","11/4/16","Google Consumer Surveys","B",1177,"lv",37.69,37.29,48831,76420,"PA"
